lane,coordinate,name,version,wheel,platform_tag,digest,size_bytes
edge,pkg:ledger-core,ledger-core,1.2.0,ledger_core-1.2.0-py3-none-any.whl,any,sha256:WRONGCOREWRONGCOREWRONGCOREWRONGCOREWRONGCOREWRONGCOREWRONGCO,5000
edge,pkg:ledger-utils,ledger-utils,1.2.0,ledger_utils-1.2.0-py3-none-any.whl,any,sha256:WRONGUTILSWRONGUTILSWRONGUTILSWRONGUTILSWRONGUTILSWRONGUTI,4000
edge,pkg:ledger-gateway,ledger-gateway,1.2.0,ledger_gateway-1.2.0-py3-none-any.whl,any,sha256:WRONGGATEWRONGGATEWRONGGATEWRONGGATEWRONGGATEWRONGGATEWRON,5000
edge,pkg:ledger-metrics,ledger-metrics,1.2.0,ledger_metrics-1.2.0-py3-none-any.whl,any,sha256:WRONGMETWRONGMETWRONGMETWRONGMETWRONGMETWRONGMETWRONGMETWR,8000
edge,pkg:legacy-nuget,legacy-nuget,0.1.0,legacy_nuget-0.1.0-py3-none-any.whl,any,sha256:WRONGLEGWRONGLEGWRONGLEGWRONGLEGWRONGLEGWRONGLEGWRONGLEGWR,200
edge,pkg:tainted,tainted,0.1.0,tainted-0.1.0-py3-none-any.whl,any,sha256:WRONGTNTWRONGTNTWRONGTNTWRONGTNTWRONGTNTWRONGTNTWRONGTNTWR,100
edge,pkg:blocked,blocked,0.1.0,blocked-0.1.0-py3-none-any.whl,any,sha256:WRONGBLKWRONGBLKWRONGBLKWRONGBLKWRONGBLKWRONGBLKWRONGBLKWR,100
core,pkg:ledger-core,ledger-core,1.2.0,ledger_core-1.2.0-py3-none-any.whl,any,sha256:WRONGCOREWRONGCOREWRONGCOREWRONGCOREWRONGCOREWRONGCOREWRONGCO,5000
core,pkg:ledger-utils,ledger-utils,1.2.0,ledger_utils-1.2.0-py3-none-any.whl,any,sha256:WRONGUTILSWRONGUTILSWRONGUTILSWRONGUTILSWRONGUTILSWRONGUTI,4000
core,pkg:ledger-gateway,ledger-gateway,1.2.0,ledger_gateway-1.2.0-py3-none-any.whl,any,sha256:WRONGGATEWRONGGATEWRONGGATEWRONGGATEWRONGGATEWRONGGATEWRON,5000
core,pkg:ledger-metrics,ledger-metrics,1.2.0,ledger_metrics-1.2.0-py3-none-any.whl,any,sha256:WRONGMETWRONGMETWRONGMETWRONGMETWRONGMETWRONGMETWRONGMETWR,8000
gate,pkg:ledger-core,ledger-core,1.2.0,ledger_core-1.2.0-py3-none-any.whl,any,sha256:WRONGCOREWRONGCOREWRONGCOREWRONGCOREWRONGCOREWRONGCOREWRONGCO,5000
gate,pkg:ledger-utils,ledger-utils,1.2.0,ledger_utils-1.2.0-py3-none-any.whl,any,sha256:WRONGUTILSWRONGUTILSWRONGUTILSWRONGUTILSWRONGUTILSWRONGUTI,4000
gate,pkg:ledger-gateway,ledger-gateway,1.2.0,ledger_gateway-1.2.0-py3-none-any.whl,any,sha256:WRONGGATEWRONGGATEWRONGGATEWRONGGATEWRONGGATEWRONGGATEWRON,5000
gate,pkg:ledger-metrics,ledger-metrics,1.2.0,ledger_metrics-1.2.0-py3-none-any.whl,any,sha256:WRONGMETWRONGMETWRONGMETWRONGMETWRONGMETWRONGMETWRONGMETWR,3000
gate,pkg:alt-a,alt-a,1.0.0,alt_a-1.0.0-py3-none-any.whl,any,sha256:WRONGALTAWRONGALTAWRONGALTAWRONGALTAWRONGALTAWRONGALTAWRONG,2000
gate,pkg:alt-b,alt-b,1.0.0,alt_b-1.0.0-py3-none-any.whl,any,sha256:WRONGALTBWRONGALTBWRONGALTBWRONGALTBWRONGALTBWRONGALTBWRONG,2000
