field,vote,token
# lab vote log — ignore
schema_version,yes,7
schema_version,yes,8
schema_version,yes,8
schema_version,no,15
phase_tol_rad,yes,0.009999999999999981
phase_tol_rad,yes,0.13999999999999999
phase_tol_rad,yes,0.16
phase_tol_rad,yes,0.5
phase_tol_rad,no,1.45
gain_tol_db,yes,1.3599999999999999
gain_tol_db,yes,1.49
gain_tol_db,yes,1.51
gain_tol_db,yes,1.85
gain_tol_db,no,5.5

freq_match_eps_hz,yes,2.36
freq_match_eps_hz,yes,2.49
freq_match_eps_hz,yes,2.51
freq_match_eps_hz,yes,2.85
freq_match_eps_hz,no,8.5
freq_anchor,yes,hinge
freq_anchor,yes,hinge_alt
freq_anchor,no,zzz_decoy
c_mps,yes,299792457.86
c_mps,yes,299792457.99
c_mps,yes,299792458.01
c_mps,yes,299792458.35
c_mps,no,899377375.0
steer_az_deg,yes,24.86
steer_az_deg,yes,24.99
steer_az_deg,yes,25.01
steer_az_deg,yes,25.35
steer_az_deg,no,76.0
steer_el_deg,yes,9.86
steer_el_deg,yes,9.99
steer_el_deg,yes,10.01
steer_el_deg,yes,10.35
steer_el_deg,no,31.0
el_law,yes,cos_el
el_law,yes,cos_el_alt
el_law,no,zzz_decoy
norm_mode,yes,unit_peak
norm_mode,yes,unit_peak_alt
norm_mode,no,zzz_decoy
ref_antenna_id,yes,A00
ref_antenna_id,yes,A00_alt
ref_antenna_id,no,zzz_decoy
wrap_half_open,yes,0
wrap_half_open,yes,1
wrap_half_open,yes,1
wrap_half_open,no,8
wrap_compose,yes,wrap_each_then_sum
wrap_compose,yes,wrap_each_then_sum_alt
wrap_compose,no,zzz_decoy
phase_sign,yes,-2
phase_sign,yes,-1
phase_sign,yes,-1
phase_sign,no,6
geo_sign,yes,-2
geo_sign,yes,-1
geo_sign,yes,-1
geo_sign,no,6
amp_law,yes,voltage
amp_law,yes,voltage_alt
amp_law,no,zzz_decoy
mutual_alpha,yes,0.20999999999999996
mutual_alpha,yes,0.33999999999999997
mutual_alpha,yes,0.36
mutual_alpha,yes,0.7
mutual_alpha,no,2.05
neighbor_radius_m,yes,-0.12200000000000001
neighbor_radius_m,yes,0.007999999999999998
neighbor_radius_m,yes,0.027999999999999997
neighbor_radius_m,yes,0.368
neighbor_radius_m,no,1.054
mutual_kernel,yes,gaussian
mutual_kernel,yes,gaussian_alt
mutual_kernel,no,zzz_decoy
couple_mask,yes,dual_inliers
couple_mask,yes,dual_inliers_alt
couple_mask,no,zzz_decoy
taper_beta,yes,0.71
taper_beta,yes,0.84
taper_beta,yes,0.86
taper_beta,yes,1.2
taper_beta,no,3.55
taper_origin,yes,ref
taper_origin,yes,ref_alt
taper_origin,no,zzz_decoy
ref_phase_align,yes,0
ref_phase_align,yes,1
ref_phase_align,yes,1
ref_phase_align,no,8
align_mode,yes,div_ref
align_mode,yes,div_ref_alt
align_mode,no,zzz_decoy
outlier_mode,yes,union_then_cluster
outlier_mode,yes,union_then_cluster_alt
outlier_mode,no,zzz_decoy
cluster_metric,yes,chebyshev
cluster_metric,yes,chebyshev_alt
cluster_metric,no,zzz_decoy
cluster_phase_scale,yes,0.36
cluster_phase_scale,yes,0.49
cluster_phase_scale,yes,0.51
cluster_phase_scale,yes,0.85
cluster_phase_scale,no,2.5
cluster_gain_scale,yes,0.26
cluster_gain_scale,yes,0.39
cluster_gain_scale,yes,0.41000000000000003
cluster_gain_scale,yes,0.75
cluster_gain_scale,no,2.2
rms_basis,yes,all
rms_basis,yes,all_alt
rms_basis,no,zzz_decoy
digest_bind,yes,schema_taper_couple_w
digest_bind,yes,schema_taper_couple_w_alt
digest_bind,no,zzz_decoy
policy_revision,yes,desk-2026.10
policy_revision,yes,desk-2026.10_alt
policy_revision,no,zzz_decoy
