reed,silt,brack,fen,moss,gale,sluice,weir,level
-0.768423,-2.363846,-0.016156,0.607698,-0.103135,-1.004099,0,0,4.213392
-0.502234,0.156169,-0.350920,-1.670281,-0.191684,0.627242,1,1,-3.346245
-0.389686,-1.069915,-0.813545,0.647384,0.473402,-0.883851,1,1,2.850256
1.270619,0.745850,-0.269083,-0.067297,1.323005,0.572838,1,0,2.351203
0.385570,-1.425620,-0.854698,0.380644,-0.136298,-0.978796,1,0,-0.060568
-1.519648,1.306093,0.375365,-1.184674,-0.971243,-0.314361,0,1,-4.050381
0.377151,2.511928,1.328510,-1.120936,-0.385035,1.782782,1,1,0.188434
0.096637,-0.298619,-0.342563,0.307205,2.232077,1.170862,0,1,-2.731313
-0.888532,-0.703276,1.080629,0.014430,-0.073310,0.468042,1,1,-0.745888
-1.711429,-0.440986,0.966024,1.223947,-1.196436,-1.305838,1,0,0.975416
1.815057,1.238626,-0.400298,-0.035426,-0.547354,0.751114,0,0,3.506318
-0.263371,0.464061,-0.141346,-0.221839,-0.575282,-0.795717,0,0,-2.567660
-1.228564,-0.142459,0.294097,-0.394953,0.445592,0.781903,1,0,-2.483735
-0.817075,-0.140184,-0.492200,1.860638,1.241893,-0.159156,1,1,6.222151
-0.792096,-0.392913,0.727368,-0.103074,1.861827,-0.410082,0,1,-1.662631
-0.035343,-0.641203,1.855107,0.130990,0.516497,0.855455,1,0,2.312977
-0.423957,0.435633,0.789896,-0.393025,0.930825,1.249532,0,1,-1.739566
1.264166,1.151775,0.665295,-0.858194,0.629198,0.861958,0,1,6.810567
0.530349,0.574942,1.999662,-0.833747,-0.760076,-0.686969,1,1,-3.498297
0.144617,-0.048202,-0.038895,0.755785,0.773484,0.329356,0,0,0.887952
-0.074827,-0.277302,0.664164,-0.611620,-2.874413,1.601585,0,0,1.368306
-0.285434,0.326059,0.796125,0.493796,-1.059244,-0.105590,1,1,-1.832135
0.160523,1.680763,-2.208511,-0.998053,-2.381822,-2.043346,0,0,-0.582164
-0.258691,-0.307203,0.278854,-0.894588,-0.762186,-0.177394,0,1,1.293867
0.431583,-0.243098,-0.641201,-0.180655,-1.280319,1.594865,1,0,-2.857316
-1.151239,-0.439519,0.602229,1.323724,-0.360386,-0.245583,0,1,6.553484
1.328909,-1.316863,-0.817896,0.629778,-0.572985,-1.623788,1,0,0.751847
1.032986,-0.097327,0.586701,-0.822914,0.564984,-0.739833,1,0,-0.242643
1.652820,0.458408,1.133764,-0.986078,-0.463490,0.425578,1,0,1.832756
0.879704,0.403114,-0.930120,0.565666,-0.914040,-0.164057,0,0,1.994063
-0.300186,-0.380964,1.012443,1.159709,-0.179987,1.038070,1,1,2.563898
0.886910,-0.793767,0.624684,0.528369,0.661957,1.882187,1,1,4.087959
-0.483137,-0.669103,1.121105,0.799600,-0.846459,0.065496,1,1,-0.266697
0.520656,1.014501,1.357150,-0.081656,-1.933257,1.043237,0,1,-2.186083
0.637965,0.143183,3.036153,0.884495,1.227308,-0.200417,0,0,3.753104
0.210764,0.927893,-0.278473,-0.801417,-0.803112,-0.609500,0,0,-1.611696
0.242065,0.125457,0.908158,-1.950445,-0.595019,-2.013286,1,1,-0.759833
-0.845604,0.308161,0.018981,-1.140454,0.526585,-0.899006,0,0,0.725480
0.518247,-1.472015,0.446254,0.854946,0.932471,-0.414901,0,1,2.778937
1.101894,0.272854,-0.317779,1.240380,0.428113,-0.735995,0,0,3.664419
2.074312,-0.293449,-0.842227,1.313125,-1.561491,0.277272,0,0,5.143257
1.314625,1.818106,1.608583,1.221777,0.518027,0.735463,1,0,6.755317
1.775061,0.104456,-0.515913,-1.200641,1.589304,-2.139973,1,0,6.762351
0.238007,-1.095250,-0.092926,0.326840,1.378098,-0.275242,0,0,0.693769
0.827684,0.105931,-0.712035,1.837073,-0.119429,0.850192,0,0,2.988995
0.297893,0.537437,-0.491500,-0.338494,0.419994,-1.298800,0,0,-1.936305
1.254278,0.437184,0.799121,-1.318660,-0.335864,0.393229,1,0,-0.438854
0.654942,1.573005,-1.452294,-0.896298,-0.440480,-0.111808,0,1,-2.587558
1.213535,0.495836,2.411931,-1.301590,1.761109,-1.466606,1,1,7.711918
-0.387977,0.399372,-1.417697,-2.319171,-0.538386,1.197742,0,0,-3.626983
-1.197011,-0.832940,1.580634,-0.641638,-0.812191,0.037163,0,1,-2.693358
0.245136,-0.182316,-0.168144,-1.851759,-0.247797,1.174643,0,0,-0.425155
-1.191345,0.363683,0.533578,-1.294908,0.050531,-0.241905,0,1,-3.964623
-0.069905,1.337344,-0.282309,0.061528,0.548997,-2.269295,0,0,-3.600630
-0.626913,-0.388390,0.710280,-0.158619,-0.710789,0.647024,1,1,-3.617291
1.028831,0.663400,1.755584,0.735684,0.197037,0.049512,0,1,3.801882
-0.778284,-1.433008,-0.969066,1.259944,-0.550275,-0.351941,0,1,6.026221
2.018128,0.072641,-0.777126,1.153266,0.260208,-0.429952,1,1,3.870858
-0.456919,-1.551202,-0.330436,0.564795,0.040448,-0.288966,0,0,2.270566
-0.702099,-0.391391,-0.458415,-0.179065,-0.922026,-2.013530,1,0,-2.274763
0.842077,0.593766,-0.391602,1.451138,-0.483252,0.412385,1,0,2.592242
0.649864,0.953112,-0.123810,-0.730647,-0.997876,-0.269292,0,0,-0.982256
-0.213330,1.410692,0.276253,-0.908771,-0.089071,-0.750759,0,1,-3.636946
0.079554,-0.408180,0.689705,-0.978426,-2.099182,1.438652,1,1,-4.251389
-0.012922,-0.770184,-1.232452,0.407829,1.198468,0.631900,1,0,0.484002
-0.802152,-0.391270,0.922420,-0.021567,0.996028,-0.385447,0,0,-2.165966
0.224126,1.217439,-0.586189,-1.452499,0.222134,0.392637,0,1,-3.715804
0.575860,-1.269321,-0.151418,0.046538,1.103748,1.518529,1,0,27.871477
-1.390830,-1.531065,1.789830,0.609502,0.337931,-0.517364,0,1,1.598765
-0.708122,0.630764,1.168545,1.401924,0.565960,-2.038594,0,0,0.555270
-0.453604,0.586099,-1.968785,-0.853652,1.825887,1.627232,0,0,-3.240224
-0.657673,-1.227824,-1.046626,0.240125,1.130904,0.835878,1,0,0.671212
0.909578,0.367227,1.259704,0.567620,-0.919731,-0.810441,0,0,4.739462
-1.804633,0.693824,-0.534130,0.422143,-0.333351,0.367765,0,1,-2.404871
2.504559,0.971208,1.699288,1.442467,0.406274,0.136464,0,0,13.838480
0.376742,1.213842,-1.319021,-0.282508,-1.328761,2.823274,0,1,0.751799
-2.242959,0.155491,0.030698,-0.815276,-0.403111,1.167703,0,1,-4.709129
-1.362895,1.843059,-0.189425,-0.106270,1.000787,0.747022,0,0,-6.639666
0.998669,0.366626,0.343772,1.422601,-2.059067,-0.211652,1,0,2.123889
1.145248,-0.949524,0.583337,-0.151086,-1.271239,-1.096282,1,1,-1.112399
-0.790607,1.646202,0.485570,-0.007946,1.512090,0.702585,1,1,-1.511250
0.852070,-1.276758,-1.247756,-0.927333,1.277452,0.929344,1,0,-1.320686
0.151517,-2.543047,0.131962,1.078663,-0.781038,-1.285877,0,0,7.726566
-1.749313,0.164853,-0.139923,-0.202539,1.195128,-2.166960,0,0,-0.696439
-0.038347,-0.019422,0.019653,-0.365744,-0.385097,0.337819,0,0,-0.916324
0.110913,-0.027339,-1.652120,-0.432711,-0.656010,1.035594,0,0,-1.498437
-0.068103,-0.716800,0.019260,1.009735,0.941583,-0.171747,1,0,3.133690
-1.020952,-0.353045,-2.148128,-0.906543,0.663526,0.148522,1,0,-3.513450
-0.695345,0.584016,-0.691709,1.775270,0.233281,0.249928,0,0,-0.063944
0.808851,-1.418278,0.714798,0.681652,-2.458436,-0.570194,1,1,-0.846676
1.528747,-0.760500,0.994673,-0.497388,2.420483,1.426381,1,0,1.569144
-1.059161,-0.692306,-0.795548,0.738267,0.489463,-0.374197,0,0,0.982003
-1.975696,2.079963,0.675336,0.544307,1.529338,0.212596,0,1,-3.653145
0.386053,1.130383,-2.527926,0.130499,-1.203904,-0.486691,1,1,0.593136
1.217780,-0.341644,-0.254013,-1.868593,-1.021591,1.048534,1,0,12.551558
-0.851966,-0.863184,0.095619,0.648601,0.807956,1.006902,1,1,1.421088
0.506928,-2.367084,-0.188178,0.381021,0.414022,-0.320483,1,1,7.842289
-1.500212,-0.855725,0.152924,-0.098238,-0.075852,0.637282,0,0,0.056714
0.919809,0.077799,-0.235917,-1.040852,-1.517235,0.875293,1,1,-2.413657
0.070540,0.729207,0.183163,0.326022,1.115989,-0.125344,1,0,0.928645
0.913488,0.390531,-0.241878,1.235882,-0.092571,-1.066917,1,0,2.981745
0.547115,0.450827,0.775084,0.983113,0.850197,-1.071120,0,0,2.481276
-0.631054,-0.494578,0.492149,0.182919,-0.427993,0.228292,1,1,-0.168198
0.689719,1.690910,-0.879472,1.980890,-0.305404,0.307830,1,1,0.791992
0.499971,-0.584898,0.324494,0.141410,0.069982,1.447773,1,1,0.639844
-1.457885,-0.531274,0.797900,-0.793648,1.260370,-0.169786,0,0,-2.961474
-0.052830,0.263255,0.227511,0.393494,0.570639,1.097324,0,0,0.125007
0.429553,0.368407,0.470199,0.788574,-1.369121,-0.304237,1,1,0.655740
1.832184,-0.176204,-0.156873,0.378802,-1.347888,-0.725026,0,0,3.113050
0.453377,0.342758,0.444801,0.636671,1.177772,0.777440,1,0,3.501046
-0.035331,1.261060,-0.471809,0.951639,-0.985266,0.660180,1,1,-0.123883
-0.046862,0.453702,1.304662,0.390790,0.685457,0.357210,0,1,1.674669
-0.790629,0.125765,-0.469742,1.387313,1.402399,0.893353,0,1,-1.586725
0.292982,-0.167271,0.973568,0.749789,0.605595,-3.098508,0,0,0.840006
1.152168,-0.416283,-0.188198,0.374615,1.663028,0.729907,1,1,2.284851
-0.088940,0.867264,1.715124,-0.987776,2.312790,-0.275217,0,1,1.775236
0.619639,-0.530565,-0.180433,-0.227745,0.784294,-0.978991,1,0,4.508180
0.766841,0.406209,-0.607331,1.103927,-0.176103,1.678906,0,0,2.289317
0.233540,1.771658,-0.373891,-0.971033,-0.206868,-0.520342,1,1,-3.391630
2.291546,-0.318605,0.200846,-0.099585,0.196776,-0.590518,0,0,7.734689
