@relation site_species

@attribute sample_id string
@attribute site string
@attribute height numeric
@attribute moisture numeric
@attribute species {moss,fern}

@data
'a-01','lab-a',1.0,1.2,moss
'a-02','lab-a',1.3,?,moss
'a-03','lab-a',3.8,4.1,fern
'a-04','lab-a',4.2,3.9,fern
'b-01','lab-b',0.8,1.1,moss
'b-02','lab-b',1.4,1.0,moss
'b-03','lab-b',3.6,3.7,fern
'b-04','lab-b',4.4,4.2,fern
'c-01','lab-c',0.9,0.7,moss
'c-02','lab-c',1.5,1.4,moss
'c-03','lab-c',3.9,3.6,fern
'c-04','lab-c',4.1,?,fern
?,?,9.0,9.0,?
