signer_id	role	incident_id	public_key_sha256	status	priority	not_before	not_after	region	key_family	assurance_weight
compliance-denied	compliance	INC-2026-0721-SCREENING	58a991f37d5add8aa10806c6e998aaf8bc54f4f86d956db760706b9e3977a6c0	trusted	1	2026-07-01	2026-12-31	af-south	family-denied	10
compliance-echo	compliance	INC-2026-0721-SCREENING	a0b860a5ffcc17db0555e4cbcf9d4ccdbc8e78200157cf9295522d4f1018a4b6	trusted	8	2026-07-01	2026-12-31	ap-south	family-echo	3
compliance-foxtrot	compliance	INC-2026-0721-SCREENING	705d5854536c7b531188fdc4c86b20bebe2fa0e5e6c3ce60ddeb52bc572be803	trusted	25	2026-07-01	2026-12-31	us-east	family-foxtrot	5
emergency-charlie	emergency	INC-2026-0721-SCREENING	03d4e7c4f5043982d806a4317b7831d6deb023961242989dd739db0a1ec11767	trusted	1	2026-07-01	2026-12-31	global	family-emergency	7
ops-alpha	operations	INC-2026-0721-SCREENING	e683dacdd71be2df24b3565ef2f4695ee01bc815e2c4db0986b2ff4ba719d664	trusted	20	2026-07-01	2026-12-31	us-east	family-alpha	4
ops-expired	operations	INC-2026-0721-SCREENING	bea1cb22d7243208f67b9e3edf87db126981d2748f39f7c103ef013af418a21f	trusted	2	2026-01-01	2026-07-20	eu-north	family-expired	8
ops-fingerprint-bad	operations	INC-2026-0721-SCREENING	0000000000000000000000000000000000000000000000000000000000000000	trusted	3	2026-07-01	2026-12-31	ap-east	family-badfp	9
ops-legacy	operations	INC-2026-0721-SCREENING	2eb6221d0a9acd6adfd5be8e841f62ee0b61f9b270d1c72833d0c40bd63e2035	revoked	5	2026-07-01	2026-12-31	us-central	family-legacy	9
ops-shadow	operations	INC-2026-0721-SCREENING	1f1cebb087aa2eabf1524bd4cccef207b999740f9fe1f634ad83ec614889d795	trusted	1	2026-07-01	2026-12-31	ap-southeast	family-shadow-ops	10
ops-wrong-incident	operations	INC-2026-OTHER	7accf8b1b9410c9bc1592fdb968a2c550ed1316d3f5c19abc34414e7fb0f7c2e	trusted	1	2026-07-01	2026-12-31	ap-south	family-wronginc	9
ops-zulu	operations	INC-2026-0721-SCREENING	389872bf13adeccf07201257709956b4b3ff34a5eb531206b1d120b1ea186621	trusted	30	2026-07-01	2026-12-31	eu-west	family-zulu	6
sec-bravo	security	INC-2026-0721-SCREENING	229eb200546a4d31233ef1fa60ecd0809ee44bea75cd5f8d680c75ffb04b12bd	trusted	10	2026-07-01	2026-12-31	us-west	family-bravo	4
sec-delta	security	INC-2026-0721-SCREENING	77fe497a939154b2ec72b7e59d68f15307fd5aad5f5751557a85a00e6426320e	trusted	20	2026-07-01	2026-12-31	eu-central	family-delta	5
sec-fingerprint-bad	security	INC-2026-0721-SCREENING	ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff	trusted	3	2026-07-01	2026-12-31	ap-northeast	family-badfp2	9
sec-not-yet-valid	security	INC-2026-0721-SCREENING	451e662376e3e5036d809a16828498f758758bb258df3b9f4baadc95fe6faa83	trusted	2	2026-07-22	2026-12-31	sa-east	family-future	9
sec-shadow	security	INC-2026-0721-SCREENING	814711740f6a1d53d1e3616dc8a48accff4c6743c9810a239048c6adee25b4aa	trusted	1	2026-07-01	2026-12-31	me-central	family-shadow-sec	10
sec-wrong-incident	security	INC-2026-OTHER	b65cae2e50ccec030200c3bd7b68bfb338ed3435d6e7805c16bf45aa4ddc89f3	trusted	1	2026-07-01	2026-12-31	ca-central	family-wronginc2	9
