feature,role,data_type,description
film_microns,feature,numeric,"model input; body-shop e-coat quality export: one panel per record, read off the tank ledger after the cathodic dip and cure oven"
bath_solids,feature,numeric,"model input; body-shop e-coat quality export: one panel per record, read off the tank ledger after the cathodic dip and cure oven"
bath_temp_c,feature,numeric,"model input; body-shop e-coat quality export: one panel per record, read off the tank ledger after the cathodic dip and cure oven"
coat_voltage,feature,numeric,"model input; body-shop e-coat quality export: one panel per record, read off the tank ledger after the cathodic dip and cure oven"
dip_seconds,feature,numeric,"model input; body-shop e-coat quality export: one panel per record, read off the tank ledger after the cathodic dip and cure oven"
rinse_pressure,feature,numeric,"model input; body-shop e-coat quality export: one panel per record, read off the tank ledger after the cathodic dip and cure oven"
substrate_grade,feature,categorical,"model input; body-shop e-coat quality export: one panel per record, read off the tank ledger after the cathodic dip and cure oven"
line_side,feature,categorical,"model input; body-shop e-coat quality export: one panel per record, read off the tank ledger after the cathodic dip and cure oven"
pretreat_type,feature,categorical,"model input; body-shop e-coat quality export: one panel per record, read off the tank ledger after the cathodic dip and cure oven"
cratered,target,categorical,prediction target
bath_run,group,categorical,validation reporting group
