doc_id,length_tokens,source_bucket
0,453,4
1,466,3
2,181,4
3,781,3
4,243,1
5,81,4
6,240,1
7,169,1
8,199,1
9,811,2
10,65,3
11,519,1
12,115,2
13,484,1
14,394,4
15,53,0
16,333,1
17,604,1
18,441,0
19,782,1
20,501,1
21,765,2
22,81,2
23,547,1
24,556,4
25,343,4
26,547,0
27,435,2
28,272,2
29,124,3
30,575,3
31,513,0
32,567,3
33,685,3
34,365,3
35,663,0
36,534,2
37,43,0
38,322,4
39,278,0
40,727,1
41,850,3
42,568,4
43,504,4
44,575,0
45,416,3
46,272,1
47,780,3
48,262,0
49,90,4
50,568,3
51,314,1
52,376,3
53,154,2
54,139,4
55,765,4
56,647,4
57,332,1
58,872,4
59,763,2
60,315,0
61,651,1
62,374,3
63,411,2
64,241,4
65,317,0
66,87,2
67,754,2
68,760,1
69,428,1
70,868,1
71,689,1
72,41,1
73,437,4
74,451,0
75,628,0
76,887,1
77,456,4
78,464,1
79,837,0
80,596,0
81,422,3
82,208,1
83,214,4
84,471,4
85,435,3
86,493,2
87,759,0
88,251,1
89,661,0
90,765,2
91,643,0
92,190,2
93,469,4
94,149,4
95,377,0
96,400,3
97,844,1
98,485,0
99,779,4
100,179,0
101,877,4
102,458,1
103,876,1
104,722,0
105,842,3
106,817,4
107,233,1
108,887,4
109,301,4
110,899,3
111,76,1
112,831,3
113,367,4
114,737,1
115,806,2
116,453,3
117,269,3
118,78,1
119,514,1
120,727,0
121,125,3
122,627,1
123,570,4
124,540,4
125,251,3
126,46,0
127,872,4
128,346,2
129,705,4
130,41,0
131,170,4
132,723,2
133,555,0
134,703,0
135,172,4
136,742,1
137,278,0
138,70,3
139,71,0
140,817,4
141,328,0
142,229,2
143,306,4
144,666,0
145,599,2
146,349,2
147,127,2
148,723,4
149,424,1
150,262,1
151,573,2
152,748,2
153,462,0
154,218,2
155,575,0
156,712,4
157,797,2
158,92,1
159,690,1
160,150,4
161,756,4
162,608,0
163,576,2
164,270,0
165,145,0
166,305,3
167,457,1
168,309,2
169,276,1
170,124,3
171,100,3
172,309,2
173,410,3
174,312,4
175,268,3
176,80,2
177,504,2
178,348,3
179,771,4
180,375,2
181,58,1
182,475,3
183,177,4
184,432,3
185,139,2
186,392,4
187,603,0
188,805,0
189,273,1
190,663,2
191,365,2
192,62,2
193,868,3
194,349,2
195,667,3
196,757,4
197,689,4
198,297,3
199,430,3
200,594,1
201,761,2
202,251,3
203,139,4
204,553,2
205,702,0
206,201,1
207,119,3
208,855,4
209,727,4
210,869,2
211,404,2
212,601,4
213,406,4
214,302,0
215,401,3
216,348,3
217,853,2
218,357,2
219,563,0
220,716,2
221,273,3
222,786,3
223,296,1
224,688,1
225,395,4
226,483,3
227,808,1
228,104,1
229,746,1
230,231,4
231,630,2
232,738,0
233,675,4
234,528,4
235,795,2
236,883,0
237,727,4
238,477,3
239,643,2
240,143,0
241,549,2
242,44,3
243,613,0
244,849,1
245,606,4
246,163,1
247,175,2
248,749,1
249,485,1
250,253,3
251,340,2
252,441,4
253,397,4
254,475,1
255,596,4
256,888,0
257,481,1
258,628,3
259,295,3
260,324,2
261,126,1
262,432,0
263,217,0
264,421,2
265,178,2
266,585,1
267,383,1
268,658,2
269,628,1
270,428,2
271,477,2
272,76,4
273,230,2
274,372,3
275,706,3
276,570,3
277,493,4
278,70,2
279,238,4
280,595,1
281,274,3
282,362,1
283,282,2
284,536,3
285,812,3
286,113,1
287,394,0
288,247,0
289,303,0
290,745,1
291,264,2
292,482,1
293,275,4
294,832,0
295,405,2
296,132,1
297,43,4
298,418,0
299,383,3
300,829,1
301,770,3
302,569,3
303,321,1
304,799,3
305,43,1
306,796,0
307,269,2
308,262,4
309,819,2
310,488,1
311,398,0
312,274,4
313,627,1
314,331,0
315,316,4
316,820,4
317,113,0
318,608,2
319,685,3
320,664,0
321,687,1
322,728,4
323,137,3
324,662,3
325,877,3
326,436,4
327,866,1
328,388,4
329,771,3
330,491,4
331,159,4
332,363,2
333,266,1
334,645,2
335,221,3
336,279,1
337,172,0
338,355,3
339,479,1
340,83,1
341,634,1
342,811,4
343,676,1
344,666,1
345,51,3
346,289,2
347,274,2
348,666,2
349,694,0
350,328,1
351,393,2
352,525,1
353,496,3
354,313,3
355,793,0
356,718,0
357,366,4
358,223,2
359,541,3
360,828,0
361,538,2
362,140,4
363,819,0
364,143,3
365,846,1
366,359,3
367,763,3
368,579,0
369,447,4
370,702,1
371,755,0
372,251,3
373,699,1
374,756,2
375,726,4
376,276,1
377,618,1
378,270,1
379,445,1
380,691,0
381,557,4
382,227,3
383,182,1
384,100,1
385,154,1
386,389,3
387,127,2
388,162,2
389,186,1
390,659,0
391,71,2
392,642,0
393,794,0
394,878,3
395,202,3
396,578,1
397,210,0
398,801,4
399,179,4
400,607,4
401,111,2
402,469,4
403,698,3
404,119,4
405,417,2
406,892,1
407,736,0
408,882,2
409,175,1
410,137,4
411,53,1
412,118,3
413,666,3
414,245,4
415,306,3
416,667,2
417,745,1
418,459,3
419,567,2
420,188,3
421,369,1
422,673,4
423,97,2
424,473,2
425,521,1
426,611,4
427,690,4
428,347,1
429,451,2
430,61,1
431,97,1
432,375,0
433,220,2
434,456,4
435,278,3
436,271,0
437,774,1
438,464,2
439,559,1
440,564,1
441,558,4
442,774,4
443,179,3
444,629,4
445,102,0
446,654,0
447,125,2
448,100,4
449,843,2
450,250,1
451,376,4
452,214,2
453,72,4
454,392,1
455,777,3
456,763,0
457,171,2
458,379,4
459,159,1
460,258,2
461,435,2
462,403,1
463,748,1
464,739,3
465,420,1
466,213,2
467,148,4
468,522,0
469,742,1
470,856,2
471,122,3
472,329,1
473,75,4
474,124,0
475,56,0
476,62,2
477,758,4
478,670,1
479,80,3
480,704,2
481,106,4
482,816,3
483,520,3
484,580,0
485,732,2
486,302,3
487,155,3
488,384,3
489,661,1
490,899,4
491,105,2
492,725,3
493,529,3
494,862,0
495,483,3
496,370,2
497,576,4
498,369,0
499,162,1
500,696,4
501,277,3
502,685,2
503,546,0
504,658,1
505,543,4
506,242,1
507,298,0
508,514,1
509,114,4
510,164,0
511,750,3
512,730,4
513,778,1
514,708,1
515,259,1
516,791,0
517,142,4
518,550,4
519,320,0
520,716,0
521,184,2
522,406,4
523,83,1
524,314,3
525,71,2
526,791,4
527,856,1
528,176,2
529,221,1
530,367,0
531,367,1
532,174,2
533,834,1
534,252,1
535,850,3
536,899,2
537,405,0
538,708,1
539,483,3
540,645,4
541,659,1
542,262,4
543,859,2
544,132,2
545,232,1
546,202,3
547,597,1
548,264,3
549,288,0
550,438,3
551,139,4
552,50,3
553,546,1
554,391,4
555,569,1
556,91,0
557,63,2
558,799,0
559,358,3
560,161,4
561,210,1
562,685,4
563,701,3
564,783,0
565,537,2
566,437,2
567,598,2
568,780,2
569,738,4
570,316,3
571,270,4
572,63,1
573,74,4
574,497,4
575,231,2
576,390,3
577,641,3
578,137,3
579,287,0
580,319,3
581,607,3
582,745,4
583,664,1
584,637,2
585,467,4
586,808,2
587,327,0
588,805,1
589,720,0
590,527,4
591,209,1
592,601,3
593,506,0
594,787,1
595,459,2
596,139,4
597,525,3
598,630,0
599,854,3
600,556,1
601,510,4
602,449,0
603,103,2
604,760,2
605,704,3
606,724,2
607,507,1
608,41,0
609,700,3
610,262,0
611,580,3
612,403,3
613,102,4
614,203,0
615,697,0
616,142,1
617,732,1
618,55,0
619,148,4
620,814,0
621,671,3
622,449,2
623,509,2
624,226,1
625,51,0
626,842,1
627,500,3
628,378,0
629,42,3
630,53,3
631,136,1
632,484,0
633,346,0
634,280,4
635,770,3
636,722,1
637,423,2
638,151,3
639,100,1
640,771,2
641,835,0
642,759,3
643,365,0
644,73,1
645,510,1
646,62,3
647,814,2
648,355,1
649,146,2
650,225,2
651,685,0
652,687,0
653,716,1
654,519,4
655,644,0
656,628,1
657,744,0
658,374,4
659,114,3
660,871,0
661,580,3
662,305,1
663,104,2
664,578,2
665,191,2
666,66,1
667,582,0
668,334,2
669,285,1
670,792,3
671,283,1
672,117,2
673,71,3
674,819,2
675,342,4
676,185,4
677,761,4
678,417,0
679,366,3
680,545,1
681,448,1
682,476,2
683,151,0
684,77,3
685,241,3
686,882,4
687,77,3
688,447,2
689,783,1
690,270,4
691,40,1
692,437,4
693,878,1
694,478,3
695,227,2
696,423,0
697,228,4
698,828,0
699,412,0
700,465,1
701,581,4
702,697,4
703,665,1
704,472,1
705,737,2
706,337,4
707,452,3
708,572,4
709,491,2
710,51,4
711,233,4
712,734,2
713,422,1
714,159,0
715,519,2
716,599,1
717,521,4
718,854,1
719,270,4
720,666,4
721,721,2
722,558,0
723,123,2
724,474,0
725,453,3
726,422,1
727,678,1
728,861,0
729,166,3
730,59,1
731,497,4
732,458,3
733,774,4
734,267,0
735,595,2
736,498,1
737,130,3
738,320,3
739,408,2
740,867,1
741,813,3
742,314,4
743,418,0
744,300,4
745,693,0
746,255,4
747,116,4
748,681,1
749,313,2
750,653,3
751,775,2
752,343,3
753,560,0
754,280,1
755,332,2
756,205,1
757,153,0
758,176,2
759,390,3
760,608,2
761,376,4
762,44,1
763,857,2
764,290,4
765,745,1
766,713,2
767,818,1
768,86,2
769,143,4
770,838,3
771,737,0
772,355,0
773,587,2
774,219,0
775,263,3
776,314,3
777,163,1
778,571,4
779,276,3
780,218,2
781,787,2
782,875,4
783,587,1
784,65,0
785,452,4
786,646,1
787,221,4
788,738,4
789,148,0
790,341,1
791,258,0
792,149,2
793,183,1
794,623,0
795,703,0
796,203,3
797,635,2
798,800,0
799,142,4
800,610,0
801,414,2
802,421,1
803,472,1
804,40,2
805,496,4
806,53,0
807,182,1
808,770,2
809,201,0
810,763,2
811,437,0
812,777,4
813,355,4
814,389,0
815,390,2
816,880,4
817,812,3
818,620,4
819,803,1
820,624,2
821,384,2
822,362,0
823,254,3
824,827,1
825,155,1
826,760,0
827,442,3
828,777,4
829,753,4
830,334,4
831,814,2
832,238,3
833,51,3
834,78,3
