event_id,timestamp_utc,calendar_day,hour_utc,campaign,logger,position,user_feature_0,user_feature_1,user_feature_2,user_feature_3
ev0001,2019-11-28T00:47:35.357668+00:00,28,0,all,random,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,270b3e1c052b4f2e9c90bf0ebeb84f34
ev0002,2019-11-28T01:30:33.568758+00:00,28,1,women,random,3,81ce123cbb5bd8ce818f60fb3586bba5,2d03db5543b14483e52d761760686b64,9b2d331c329ceb74d3dcfb48d8798c78,9bde591ffaab8d54c457448e4dca6f53
ev0003,2019-11-28T01:37:33.883397+00:00,28,1,men,bts,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,05b76f5e97e51128862059ac7df9e42a
ev0004,2019-11-28T01:38:52.761107+00:00,28,1,women,bts,3,81ce123cbb5bd8ce818f60fb3586bba5,2d03db5543b14483e52d761760686b64,9b2d331c329ceb74d3dcfb48d8798c78,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0005,2019-11-28T01:43:07.597442+00:00,28,1,women,random,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0006,2019-11-28T02:30:56.813658+00:00,28,2,women,random,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0007,2019-11-28T02:41:48.312132+00:00,28,2,men,random,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53
ev0008,2019-11-28T03:08:42.973590+00:00,28,3,all,bts,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,06128286bcc64b6a4b0fb7bc0328fe17
ev0009,2019-11-28T04:33:50.513485+00:00,28,4,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,06128286bcc64b6a4b0fb7bc0328fe17
ev0010,2019-11-28T04:34:47.277370+00:00,28,4,women,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,2d03db5543b14483e52d761760686b64,9b2d331c329ceb74d3dcfb48d8798c78,9bde591ffaab8d54c457448e4dca6f53
ev0011,2019-11-28T04:53:45.644687+00:00,28,4,men,random,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0012,2019-11-28T05:16:11.870514+00:00,28,5,men,bts,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,06128286bcc64b6a4b0fb7bc0328fe17
ev0013,2019-11-28T05:21:48.901445+00:00,28,5,women,random,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,9bde591ffaab8d54c457448e4dca6f53
ev0014,2019-11-28T05:55:52.662364+00:00,28,5,men,bts,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,9bde591ffaab8d54c457448e4dca6f53
ev0015,2019-11-28T06:05:15.527122+00:00,28,6,all,random,3,81ce123cbb5bd8ce818f60fb3586bba5,2d03db5543b14483e52d761760686b64,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53
ev0016,2019-11-28T06:05:35.843998+00:00,28,6,men,random,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,f97571b9c14a786aab269f0b427d2a85
ev0017,2019-11-28T06:32:21.719664+00:00,28,6,women,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0018,2019-11-28T06:38:34.661757+00:00,28,6,women,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,270b3e1c052b4f2e9c90bf0ebeb84f34
ev0019,2019-11-28T07:07:43.304589+00:00,28,7,men,random,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,270b3e1c052b4f2e9c90bf0ebeb84f34
ev0020,2019-11-28T07:21:14.619141+00:00,28,7,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53
ev0021,2019-11-28T08:49:33.321381+00:00,28,8,women,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,9bde591ffaab8d54c457448e4dca6f53
ev0022,2019-11-28T09:43:36.810903+00:00,28,9,women,random,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53
ev0023,2019-11-28T09:53:16.707779+00:00,28,9,all,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0024,2019-11-28T10:07:16.379469+00:00,28,10,all,bts,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0025,2019-11-28T11:34:38.053277+00:00,28,11,women,bts,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0026,2019-11-28T11:52:00.140679+00:00,28,11,all,bts,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,06128286bcc64b6a4b0fb7bc0328fe17
ev0027,2019-11-28T14:30:01.378591+00:00,28,14,men,bts,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,06128286bcc64b6a4b0fb7bc0328fe17
