record_id,source_split,capture_action,behavior_propensity,target_probability,policy_weight,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8
eval_00001,writer_independent_evaluation,long_sweep,0.36822314,0.47000000,1.27639995,88,92,2,99,16,66,94,37,70,0,0,24,42,65,100,100
eval_00002,writer_independent_evaluation,long_sweep,0.36289097,0.47000000,1.29515485,80,100,18,98,60,66,100,29,42,0,0,23,42,61,56,98
eval_00003,writer_independent_evaluation,long_sweep,0.35132331,0.47000000,1.33779906,0,94,9,57,20,19,7,0,20,36,70,68,100,100,18,92
eval_00004,writer_independent_evaluation,long_sweep,0.34091683,0.47000000,1.37863538,95,82,71,100,27,77,77,73,100,80,93,42,56,13,0,0
eval_00005,writer_independent_evaluation,long_sweep,0.34736336,0.47000000,1.35305001,68,100,6,88,47,75,87,82,85,56,100,29,75,6,0,0
eval_00006,writer_independent_evaluation,compact_trace,0.48646722,0.32000000,0.65780383,70,100,100,97,70,81,45,65,30,49,20,33,0,16,0,0
eval_00007,writer_independent_evaluation,long_sweep,0.34629116,0.47000000,1.35723940,40,100,0,81,15,58,100,57,47,87,50,88,40,42,36,0
eval_00008,writer_independent_evaluation,compact_trace,0.53233349,0.32000000,0.60112694,3,71,0,95,45,100,100,99,79,78,48,53,31,24,54,0
eval_00009,writer_independent_evaluation,compact_trace,0.52733984,0.32000000,0.60681931,79,87,98,81,71,100,72,73,100,66,91,21,48,0,0,13
eval_00010,writer_independent_evaluation,long_sweep,0.35168608,0.47000000,1.33641912,92,95,30,100,34,68,87,89,84,78,100,35,64,0,0,19
eval_00011,writer_independent_evaluation,long_sweep,0.36216346,0.47000000,1.29775653,58,64,100,96,27,100,0,63,79,65,91,72,48,36,10,0
eval_00012,writer_independent_evaluation,long_sweep,0.35711344,0.47000000,1.31610839,34,89,3,70,1,25,49,0,100,23,100,67,56,99,0,100
eval_00013,writer_independent_evaluation,compact_trace,0.52500229,0.32000000,0.60952116,0,90,46,100,88,92,79,69,60,48,39,27,47,6,100,0
eval_00014,writer_independent_evaluation,long_sweep,0.34964162,0.47000000,1.34423355,20,71,0,29,31,0,78,12,100,51,84,93,37,100,8,66
eval_00015,writer_independent_evaluation,compact_trace,0.51314342,0.32000000,0.62360734,100,100,67,98,41,80,44,50,78,42,68,16,35,2,0,0
eval_00016,writer_independent_evaluation,long_sweep,0.35469704,0.47000000,1.32507449,91,69,48,57,9,79,60,100,100,75,95,40,64,8,0,0
eval_00017,writer_independent_evaluation,compact_trace,0.54167443,0.32000000,0.59076077,30,74,55,100,89,87,66,56,100,38,92,8,41,0,0,20
eval_00018,writer_independent_evaluation,compact_trace,0.51909134,0.32000000,0.61646183,5,65,0,89,37,100,88,97,100,79,71,53,48,26,59,0
eval_00019,writer_independent_evaluation,long_sweep,0.35530941,0.47000000,1.32279073,42,93,19,88,0,42,24,0,83,11,100,56,75,100,17,97
eval_00020,writer_independent_evaluation,compact_trace,0.51796116,0.32000000,0.61780694,4,100,0,72,15,44,79,50,100,76,90,51,83,22,85,0
eval_00021,writer_independent_evaluation,compact_trace,0.53293514,0.32000000,0.60044830,100,100,79,80,54,59,32,38,21,16,50,0,79,16,0,16
eval_00022,writer_independent_evaluation,long_sweep,0.35467500,0.47000000,1.32515685,0,76,30,48,53,9,11,0,47,34,97,66,100,100,38,85
eval_00023,writer_independent_evaluation,compact_trace,0.54476787,0.32000000,0.58740615,0,93,40,100,57,61,51,17,35,0,12,37,54,48,100,49
eval_00024,writer_independent_evaluation,compact_trace,0.52841318,0.32000000,0.60558672,100,100,73,95,40,69,14,39,2,2,39,0,37,29,0,14
eval_00025,writer_independent_evaluation,long_sweep,0.35187099,0.47000000,1.33571683,88,100,42,77,12,50,0,22,45,0,100,17,73,44,15,49
eval_00026,writer_independent_evaluation,long_sweep,0.35569610,0.47000000,1.32135271,33,86,0,55,1,12,52,0,90,34,100,76,56,100,6,77
eval_00027,writer_independent_evaluation,compact_trace,0.52933918,0.32000000,0.60452733,69,100,44,77,5,50,0,28,67,23,100,44,95,29,89,0
eval_00028,writer_independent_evaluation,long_sweep,0.35814129,0.47000000,1.31233122,27,83,0,42,9,0,65,17,96,57,100,100,45,95,10,58
eval_00029,writer_independent_evaluation,compact_trace,0.53640141,0.32000000,0.59656815,19,100,35,93,0,63,12,36,89,37,100,66,94,33,89,0
