post_id,published_year,published_month,published_weekday,published_hour,logged_content_route,behavior_propensity,target_policy_weight,priority_stratum,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
FB00011,2018,4,1,1,product_photo,0.607618,0.550000,regular,210,2,3,202,7,1,0,0,0
FB00018,2018,3,0,8,live_video,0.330926,1.269166,policy_shift,150,173,47,132,16,1,0,1,0
FB00031,2018,3,4,5,product_photo,0.607618,0.550000,regular,85,0,0,81,2,2,0,0,0
FB00036,2018,3,0,2,product_photo,0.607618,0.550000,regular,293,8,0,281,11,1,0,0,0
FB00040,2018,2,0,8,live_video,0.330926,1.269166,policy_shift,171,292,28,150,19,1,1,0,0
FB00049,2018,2,1,1,live_video,0.330926,1.269166,policy_shift,186,235,46,163,19,0,3,0,1
FB00054,2018,2,3,9,live_video,0.330926,1.269166,policy_shift,240,255,111,193,44,1,1,0,1
FB00067,2018,1,4,8,live_video,0.330926,1.269166,policy_shift,206,259,48,181,22,1,2,0,0
FB00069,2018,1,1,9,live_video,0.330926,1.269166,policy_shift,184,130,51,161,23,0,0,0,0
FB00070,2018,1,0,9,live_video,0.330926,1.269166,policy_shift,216,251,34,199,16,0,0,0,1
FB00080,2018,1,1,22,live_video,0.330926,1.269166,policy_shift,62,1,0,62,0,0,0,0,0
FB00086,2018,1,1,23,product_photo,0.607618,0.550000,regular,14,3,0,12,2,0,0,0,0
FB00088,2017,12,6,10,product_photo,0.607618,0.550000,regular,236,12,0,226,8,1,1,0,0
FB00092,2017,12,3,6,product_photo,0.607618,0.550000,regular,33,12,0,32,1,0,0,0,0
FB00102,2017,11,3,0,product_photo,0.607618,0.550000,regular,36,11,0,34,2,0,0,0,0
FB00103,2017,11,3,21,product_photo,0.607618,0.550000,regular,19,8,0,18,0,0,1,0,0
FB00108,2017,10,2,22,product_photo,0.607618,0.550000,regular,190,0,31,171,0,0,0,19,0
FB00109,2017,10,1,3,product_photo,0.607618,0.550000,regular,217,16,0,213,4,0,0,0,0
FB00111,2017,10,0,3,product_photo,0.607618,0.550000,regular,553,15,0,538,12,3,0,0,0
FB00112,2017,10,0,3,product_photo,0.607618,0.550000,regular,203,18,11,190,7,6,0,0,0
FB00126,2017,10,0,5,live_video,0.330926,1.269166,policy_shift,325,77,21,293,30,1,1,0,0
FB00130,2017,10,5,3,live_video,0.330926,1.269166,policy_shift,365,805,46,320,39,1,3,0,2
FB00132,2017,10,2,22,product_photo,0.607618,0.550000,regular,27,14,0,26,1,0,0,0,0
FB00137,2017,9,3,23,product_photo,0.607618,0.550000,regular,8,8,0,8,0,0,0,0,0
