query_id,serp_rank,doc_id,clicked
3,1,33,1
3,2,36,1
3,3,37,0
3,4,31,0
3,5,35,0
3,6,39,0
3,7,30,0
3,8,34,0
3,9,38,0
3,10,32,0
15,1,142,1
15,2,144,0
15,3,141,0
15,4,149,0
15,5,143,0
15,6,146,0
15,7,148,1
15,8,145,0
15,9,150,0
15,10,147,0
43,1,410,1
43,2,406,0
43,3,409,0
43,4,405,0
43,5,411,0
43,6,403,0
43,7,404,0
43,8,407,0
43,9,408,0
43,10,412,0
57,1,545,0
57,2,537,0
57,3,540,0
57,4,539,0
57,5,543,0
57,6,541,0
57,7,542,0
57,8,546,0
57,9,538,0
57,10,544,0
80,1,760,1
80,2,758,1
80,3,757,1
80,4,759,0
80,5,753,0
80,6,754,0
80,7,755,0
80,8,752,0
80,9,756,0
80,10,761,0
93,1,874,0
93,2,877,0
93,3,873,0
93,4,879,0
93,5,878,0
93,6,876,0
93,7,875,0
110,1,1031,1
110,2,1036,0
110,3,1028,0
110,4,1032,0
110,5,1034,0
110,6,1037,0
110,7,1030,0
110,8,1033,0
110,9,1029,0
110,10,1035,0
115,1,1080,1
115,2,1079,1
115,3,1083,0
115,4,1076,0
115,5,1081,1
115,6,1082,0
115,7,1078,0
115,8,1077,0
115,9,1084,0
115,10,1075,0
123,1,1161,0
123,2,1153,0
123,3,1154,0
123,4,1158,0
123,5,1159,0
123,6,1152,0
123,7,1156,0
123,8,1155,0
123,9,1157,0
123,10,1160,0
127,1,1198,0
127,2,1195,0
127,3,1193,0
127,4,1197,0
127,5,1196,1
127,6,1192,0
127,7,1194,0
139,1,1300,1
139,2,1307,0
139,3,1302,0
139,4,1306,0
139,5,1305,1
139,6,1303,0
139,7,1309,0
139,8,1301,0
139,9,1304,0
139,10,1308,0
155,1,1446,0
155,2,1451,0
155,3,1454,0
155,4,1449,1
155,5,1450,0
155,6,1447,1
155,7,1445,1
155,8,1448,0
155,9,1453,0
155,10,1452,0
156,1,1455,0
156,2,1461,0
156,3,1456,1
156,4,1460,0
156,5,1457,0
156,6,1458,0
156,7,1459,0
166,1,1545,0
166,2,1548,0
166,3,1547,0
166,4,1544,0
166,5,1543,0
166,6,1546,0
166,7,1549,1
171,1,1590,1
171,2,1593,0
171,3,1585,0
171,4,1592,1
171,5,1588,0
171,6,1587,0
171,7,1591,0
171,8,1586,0
171,9,1584,0
171,10,1589,0
172,1,1600,0
172,2,1599,0
172,3,1595,0
172,4,1596,0
172,5,1597,0
172,6,1598,0
172,7,1594,0
176,1,1637,1
176,2,1638,0
176,3,1636,0
176,4,1633,0
176,5,1631,0
176,6,1640,0
176,7,1634,0
176,8,1639,0
176,9,1632,0
176,10,1635,0
188,1,1755,1
188,2,1757,0
188,3,1752,0
188,4,1754,0
188,5,1751,0
188,6,1756,0
188,7,1753,0
195,1,1819,1
195,2,1814,0
195,3,1817,0
195,4,1821,0
195,5,1815,0
195,6,1813,0
195,7,1818,0
195,8,1820,0
195,9,1812,0
195,10,1816,0
198,1,1848,0
198,2,1842,0
198,3,1847,0
198,4,1845,0
198,5,1843,0
198,6,1844,0
198,7,1846,0
210,1,1962,0
210,2,1965,0
210,3,1960,0
210,4,1963,0
210,5,1959,0
210,6,1964,0
210,7,1961,0
211,1,1971,0
211,2,1966,0
211,3,1970,0
211,4,1972,0
211,5,1967,0
211,6,1968,0
211,7,1969,0
218,1,2033,1
218,2,2036,1
218,3,2038,0
218,4,2035,0
218,5,2037,0
218,6,2039,0
218,7,2034,0
223,1,2076,0
223,2,2077,0
223,3,2074,1
223,4,2075,0
223,5,2073,1
223,6,2079,0
223,7,2078,0
223,8,2072,0
223,9,2080,0
223,10,2071,0
232,1,2158,0
232,2,2162,0
232,3,2163,0
232,4,2159,0
232,5,2161,0
232,6,2164,0
232,7,2160,0
251,1,2342,0
251,2,2341,1
251,3,2340,0
251,4,2339,0
251,5,2336,0
251,6,2333,0
251,7,2338,0
251,8,2334,0
251,9,2335,0
251,10,2337,0
252,1,2343,1
252,2,2350,0
252,3,2352,0
252,4,2348,0
252,5,2347,0
252,6,2346,0
252,7,2344,0
252,8,2345,0
252,9,2349,0
