query_id,session_day,template_id,organic_count
0,4,grid_two_col,10
1,5,grid_two_col,10
2,5,grid_two_col,10
3,1,list_v4,10
4,5,list_v4,10
5,5,list_v4,10
6,6,grid_two_col,10
7,4,grid_two_col,10
8,3,feature_stack,7
9,3,grid_two_col,10
10,6,feature_stack,7
11,4,grid_two_col,10
12,8,feature_stack,7
13,2,grid_two_col,10
14,4,list_v4,10
15,1,grid_two_col,10
16,5,list_v4,10
17,3,feature_stack,7
18,9,grid_two_col,10
19,5,list_v4,10
20,5,grid_two_col,10
21,10,list_v4,10
22,6,list_v4,10
23,2,list_v4,10
24,5,feature_stack,7
25,10,list_v4,10
26,3,feature_stack,7
27,5,list_v4,10
28,8,grid_two_col,10
29,2,feature_stack,7
30,2,feature_stack,7
31,5,list_v4,10
32,10,list_v4,10
33,6,grid_two_col,10
34,10,list_v4,10
35,2,feature_stack,7
36,8,list_v4,10
37,6,grid_two_col,10
38,8,grid_two_col,10
39,5,grid_two_col,10
40,5,list_v4,10
41,5,grid_two_col,10
42,9,grid_two_col,10
43,1,list_v4,10
44,6,list_v4,10
45,7,grid_two_col,10
46,6,grid_two_col,10
47,3,list_v4,10
48,8,list_v4,10
49,4,feature_stack,7
50,10,feature_stack,7
51,2,grid_two_col,10
52,4,grid_two_col,10
53,4,list_v4,10
54,2,grid_two_col,10
55,4,list_v4,10
56,3,list_v4,10
57,1,grid_two_col,10
58,9,list_v4,10
59,6,grid_two_col,10
60,4,feature_stack,7
61,8,list_v4,10
62,4,list_v4,10
63,3,feature_stack,7
64,2,list_v4,10
65,6,list_v4,10
66,7,list_v4,10
67,7,list_v4,10
68,6,grid_two_col,10
69,10,list_v4,10
70,10,grid_two_col,10
71,6,list_v4,10
72,8,feature_stack,7
73,9,grid_two_col,10
74,9,feature_stack,7
75,8,grid_two_col,10
76,6,list_v4,10
77,7,feature_stack,7
78,2,list_v4,10
79,10,list_v4,10
80,1,list_v4,10
81,3,grid_two_col,10
82,3,grid_two_col,10
83,5,feature_stack,7
84,4,list_v4,10
85,8,grid_two_col,10
86,5,grid_two_col,10
87,8,list_v4,10
88,5,list_v4,10
89,4,feature_stack,7
90,5,list_v4,10
91,10,feature_stack,7
92,5,grid_two_col,10
93,1,feature_stack,7
94,2,list_v4,10
95,8,feature_stack,7
96,9,list_v4,10
97,5,grid_two_col,10
98,4,grid_two_col,10
99,4,grid_two_col,10
100,2,list_v4,10
101,5,list_v4,10
102,7,list_v4,10
103,7,list_v4,10
104,4,feature_stack,7
105,6,feature_stack,7
106,2,list_v4,10
107,4,list_v4,10
108,8,feature_stack,7
109,2,list_v4,10
110,1,grid_two_col,10
111,8,list_v4,10
112,2,grid_two_col,10
113,2,grid_two_col,10
114,7,feature_stack,7
115,1,list_v4,10
116,2,feature_stack,7
117,8,list_v4,10
118,2,list_v4,10
119,9,list_v4,10
120,3,grid_two_col,10
121,5,grid_two_col,10
122,8,list_v4,10
123,1,grid_two_col,10
124,7,list_v4,10
125,9,grid_two_col,10
126,2,list_v4,10
127,1,feature_stack,7
128,10,grid_two_col,10
129,2,list_v4,10
130,7,feature_stack,7
131,8,list_v4,10
132,10,feature_stack,7
133,5,list_v4,10
134,2,grid_two_col,10
135,10,list_v4,10
136,6,feature_stack,7
137,6,list_v4,10
138,4,grid_two_col,10
139,1,list_v4,10
140,9,feature_stack,7
141,9,grid_two_col,10
142,9,feature_stack,7
143,5,list_v4,10
144,2,grid_two_col,10
145,7,grid_two_col,10
146,8,feature_stack,7
147,9,grid_two_col,10
148,8,list_v4,10
149,5,list_v4,10
150,8,list_v4,10
151,5,feature_stack,7
152,7,feature_stack,7
153,8,grid_two_col,10
154,7,list_v4,10
155,1,grid_two_col,10
156,1,feature_stack,7
157,9,list_v4,10
158,7,grid_two_col,10
159,6,feature_stack,7
160,8,grid_two_col,10
161,7,feature_stack,7
162,9,list_v4,10
163,8,feature_stack,7
164,6,list_v4,10
165,7,list_v4,10
166,1,feature_stack,7
167,2,list_v4,10
168,2,feature_stack,7
169,2,list_v4,10
170,8,feature_stack,7
171,1,grid_two_col,10
172,1,feature_stack,7
173,8,list_v4,10
174,4,grid_two_col,10
175,8,grid_two_col,10
176,1,list_v4,10
177,9,list_v4,10
178,7,grid_two_col,10
179,10,list_v4,10
180,4,grid_two_col,10
181,8,grid_two_col,10
182,10,list_v4,10
183,2,list_v4,10
184,8,list_v4,10
185,7,grid_two_col,10
186,2,grid_two_col,10
187,4,grid_two_col,10
188,1,feature_stack,7
189,10,list_v4,10
190,8,list_v4,10
191,3,feature_stack,7
192,4,feature_stack,7
193,8,list_v4,10
194,4,grid_two_col,10
195,1,list_v4,10
196,6,list_v4,10
197,6,list_v4,10
198,1,feature_stack,7
199,10,grid_two_col,10
200,9,list_v4,10
201,4,list_v4,10
202,5,list_v4,10
203,4,grid_two_col,10
204,5,list_v4,10
205,4,grid_two_col,10
206,5,list_v4,10
207,6,list_v4,10
208,10,grid_two_col,10
209,6,list_v4,10
210,1,feature_stack,7
211,1,feature_stack,7
212,10,grid_two_col,10
213,4,list_v4,10
214,5,grid_two_col,10
215,8,grid_two_col,10
216,7,grid_two_col,10
217,3,grid_two_col,10
218,1,feature_stack,7
219,8,feature_stack,7
220,5,feature_stack,7
221,2,feature_stack,7
222,10,grid_two_col,10
223,1,list_v4,10
224,7,list_v4,10
225,10,grid_two_col,10
226,6,list_v4,10
227,2,grid_two_col,10
228,6,grid_two_col,10
229,10,grid_two_col,10
230,7,feature_stack,7
231,5,list_v4,10
232,1,feature_stack,7
233,9,list_v4,10
234,9,grid_two_col,10
235,7,grid_two_col,10
236,9,list_v4,10
237,4,list_v4,10
238,6,list_v4,10
239,4,grid_two_col,10
240,8,feature_stack,7
241,5,feature_stack,7
242,6,list_v4,10
243,9,feature_stack,7
244,6,grid_two_col,10
245,6,feature_stack,7
246,3,grid_two_col,10
247,3,grid_two_col,10
248,10,list_v4,10
249,10,list_v4,10
250,3,list_v4,10
251,1,list_v4,10
252,1,grid_two_col,10
253,9,grid_two_col,10
254,5,feature_stack,7
255,9,list_v4,10
256,10,list_v4,10
257,1,list_v4,10
258,9,list_v4,10
259,3,feature_stack,7
260,6,list_v4,10
261,10,list_v4,10
262,3,feature_stack,7
263,4,list_v4,10
264,7,feature_stack,7
265,9,grid_two_col,10
266,8,list_v4,10
267,10,list_v4,10
268,6,grid_two_col,10
269,4,list_v4,10
270,8,list_v4,10
271,9,feature_stack,7
272,7,list_v4,10
273,8,list_v4,10
274,9,list_v4,10
275,9,list_v4,10
276,1,feature_stack,7
277,5,grid_two_col,10
278,10,feature_stack,7
279,1,list_v4,10
280,3,list_v4,10
281,4,feature_stack,7
282,2,list_v4,10
283,7,feature_stack,7
284,7,feature_stack,7
285,6,grid_two_col,10
286,1,feature_stack,7
287,10,list_v4,10
288,2,list_v4,10
289,7,list_v4,10
290,5,grid_two_col,10
291,6,feature_stack,7
292,1,list_v4,10
293,9,list_v4,10
294,1,grid_two_col,10
295,7,grid_two_col,10
296,7,list_v4,10
297,4,list_v4,10
298,6,grid_two_col,10
299,3,list_v4,10
300,9,grid_two_col,10
301,4,feature_stack,7
302,10,feature_stack,7
303,3,list_v4,10
304,7,feature_stack,7
305,7,grid_two_col,10
306,9,list_v4,10
307,2,list_v4,10
308,3,grid_two_col,10
309,8,feature_stack,7
310,2,list_v4,10
311,6,grid_two_col,10
312,1,feature_stack,7
313,3,list_v4,10
314,4,grid_two_col,10
315,5,feature_stack,7
316,10,feature_stack,7
317,8,grid_two_col,10
318,1,grid_two_col,10
319,9,feature_stack,7
320,3,grid_two_col,10
321,2,grid_two_col,10
322,5,feature_stack,7
323,7,feature_stack,7
324,3,feature_stack,7
325,7,feature_stack,7
326,5,list_v4,10
327,3,feature_stack,7
328,2,list_v4,10
329,1,list_v4,10
330,5,list_v4,10
331,8,grid_two_col,10
332,8,grid_two_col,10
333,3,grid_two_col,10
334,3,list_v4,10
335,7,grid_two_col,10
336,3,grid_two_col,10
337,3,feature_stack,7
338,1,list_v4,10
339,3,feature_stack,7
340,2,list_v4,10
341,4,feature_stack,7
342,3,list_v4,10
343,9,feature_stack,7
344,7,list_v4,10
345,8,grid_two_col,10
346,3,grid_two_col,10
347,10,grid_two_col,10
348,10,list_v4,10
349,9,list_v4,10
350,9,feature_stack,7
351,10,grid_two_col,10
352,2,feature_stack,7
353,2,list_v4,10
354,7,feature_stack,7
355,8,feature_stack,7
356,8,list_v4,10
357,6,list_v4,10
358,3,list_v4,10
359,2,grid_two_col,10
360,7,list_v4,10
361,6,grid_two_col,10
362,1,feature_stack,7
363,10,grid_two_col,10
364,5,feature_stack,7
365,3,list_v4,10
366,7,list_v4,10
367,8,list_v4,10
368,6,list_v4,10
369,10,feature_stack,7
370,7,feature_stack,7
371,5,grid_two_col,10
372,7,grid_two_col,10
373,4,list_v4,10
374,2,grid_two_col,10
375,10,feature_stack,7
376,10,list_v4,10
377,3,list_v4,10
378,3,list_v4,10
379,7,list_v4,10
380,4,grid_two_col,10
381,6,grid_two_col,10
382,6,list_v4,10
383,3,feature_stack,7
384,10,list_v4,10
385,7,list_v4,10
386,9,list_v4,10
387,7,grid_two_col,10
388,2,list_v4,10
389,2,grid_two_col,10
390,5,list_v4,10
391,5,grid_two_col,10
392,3,list_v4,10
393,6,list_v4,10
394,2,grid_two_col,10
395,1,list_v4,10
396,6,feature_stack,7
397,2,list_v4,10
398,3,list_v4,10
399,8,feature_stack,7
400,2,grid_two_col,10
401,8,list_v4,10
402,8,grid_two_col,10
403,1,feature_stack,7
404,4,list_v4,10
405,6,list_v4,10
406,5,grid_two_col,10
407,4,grid_two_col,10
408,7,feature_stack,7
409,7,feature_stack,7
410,4,list_v4,10
411,7,list_v4,10
412,4,list_v4,10
413,2,list_v4,10
414,6,feature_stack,7
415,1,grid_two_col,10
416,5,list_v4,10
417,9,list_v4,10
418,9,feature_stack,7
419,9,grid_two_col,10
420,8,list_v4,10
421,5,list_v4,10
422,9,list_v4,10
423,2,feature_stack,7
424,1,grid_two_col,10
425,1,list_v4,10
426,8,feature_stack,7
427,8,list_v4,10
428,2,list_v4,10
429,1,list_v4,10
430,9,list_v4,10
431,5,list_v4,10
432,8,grid_two_col,10
433,9,list_v4,10
434,7,grid_two_col,10
435,9,grid_two_col,10
436,1,list_v4,10
437,1,list_v4,10
438,9,list_v4,10
439,4,list_v4,10
440,3,list_v4,10
441,7,list_v4,10
442,6,list_v4,10
443,7,list_v4,10
444,3,list_v4,10
445,9,feature_stack,7
446,9,feature_stack,7
447,1,list_v4,10
448,4,list_v4,10
449,10,list_v4,10
450,2,list_v4,10
451,2,list_v4,10
452,3,feature_stack,7
453,3,grid_two_col,10
454,9,feature_stack,7
455,7,list_v4,10
456,5,list_v4,10
457,7,grid_two_col,10
458,8,list_v4,10
459,6,list_v4,10
460,4,feature_stack,7
461,3,grid_two_col,10
462,3,list_v4,10
463,8,feature_stack,7
464,8,grid_two_col,10
465,8,list_v4,10
466,8,grid_two_col,10
467,6,grid_two_col,10
468,7,grid_two_col,10
469,5,feature_stack,7
470,4,list_v4,10
471,3,list_v4,10
472,7,list_v4,10
473,3,list_v4,10
474,9,list_v4,10
475,8,list_v4,10
476,6,list_v4,10
477,10,grid_two_col,10
478,7,grid_two_col,10
479,9,list_v4,10
480,7,feature_stack,7
481,10,list_v4,10
482,9,grid_two_col,10
483,1,list_v4,10
484,3,list_v4,10
485,7,feature_stack,7
486,2,grid_two_col,10
487,4,list_v4,10
488,5,list_v4,10
489,6,list_v4,10
490,1,list_v4,10
491,7,list_v4,10
492,6,list_v4,10
493,4,list_v4,10
494,3,list_v4,10
495,9,grid_two_col,10
496,2,list_v4,10
497,2,grid_two_col,10
498,6,list_v4,10
499,7,list_v4,10
500,6,grid_two_col,10
501,4,list_v4,10
502,10,list_v4,10
503,4,list_v4,10
504,7,list_v4,10
505,2,grid_two_col,10
506,7,feature_stack,7
507,7,list_v4,10
508,4,feature_stack,7
509,5,grid_two_col,10
510,8,feature_stack,7
511,10,grid_two_col,10
512,8,feature_stack,7
513,6,list_v4,10
514,2,grid_two_col,10
515,3,list_v4,10
516,4,grid_two_col,10
517,3,grid_two_col,10
518,2,list_v4,10
519,2,feature_stack,7
520,4,feature_stack,7
521,5,grid_two_col,10
522,1,list_v4,10
523,5,list_v4,10
524,4,list_v4,10
525,5,grid_two_col,10
526,8,feature_stack,7
527,5,feature_stack,7
528,8,list_v4,10
529,1,feature_stack,7
530,8,grid_two_col,10
531,10,list_v4,10
532,6,list_v4,10
533,3,list_v4,10
534,8,list_v4,10
535,2,feature_stack,7
536,10,feature_stack,7
537,10,list_v4,10
538,5,grid_two_col,10
539,3,feature_stack,7
540,2,list_v4,10
541,3,list_v4,10
542,1,list_v4,10
543,3,list_v4,10
544,8,grid_two_col,10
545,2,feature_stack,7
546,1,grid_two_col,10
547,1,list_v4,10
548,2,grid_two_col,10
549,2,list_v4,10
550,4,grid_two_col,10
551,5,feature_stack,7
552,7,grid_two_col,10
553,8,grid_two_col,10
554,3,feature_stack,7
555,7,list_v4,10
556,2,list_v4,10
557,1,feature_stack,7
558,4,grid_two_col,10
559,7,list_v4,10
560,5,feature_stack,7
561,8,feature_stack,7
562,1,list_v4,10
563,7,list_v4,10
564,8,list_v4,10
565,6,feature_stack,7
566,2,feature_stack,7
567,1,list_v4,10
568,4,grid_two_col,10
569,10,list_v4,10
570,9,feature_stack,7
571,9,grid_two_col,10
572,9,list_v4,10
573,4,grid_two_col,10
574,6,grid_two_col,10
575,10,list_v4,10
576,10,list_v4,10
577,4,grid_two_col,10
578,7,list_v4,10
579,8,list_v4,10
580,8,list_v4,10
581,3,feature_stack,7
582,7,feature_stack,7
583,7,list_v4,10
584,7,list_v4,10
585,2,list_v4,10
586,10,grid_two_col,10
587,3,feature_stack,7
588,9,feature_stack,7
589,7,grid_two_col,10
590,9,grid_two_col,10
591,10,feature_stack,7
592,4,list_v4,10
593,6,grid_two_col,10
594,3,feature_stack,7
595,2,list_v4,10
596,8,list_v4,10
597,10,grid_two_col,10
598,4,list_v4,10
