case_id,policy_id,cluster,event_id,state_id,next_state,reward,cost,target_prob,behavior_prob,noise_a,source_id
public-002,P2,1,event::01:1:1:4:5,S01_04,S01_00,1.0139857678177118,0.29160940851633077,0.84560060328611975,0.50040212636776005,790.490000528,noise::5475597650
public-003,P2,0,event::02:1:0:1:2,S02_01,S02_03,1.0257649648388139,0.24765053947732107,0.56465681497613873,0.29102588946420294,155.46858539,noise::5266157534
public-002,P3,4,event::01:2:4:1:8,S01_01,S01_01,0.96287577800403956,0.25245665781413784,0.24677509609092302,0.10799705679909696,-850.23431372,noise::9753772120
public-007,P3,2,event::06:2:2:4:3,S06_04,S06_05,0.59253556138860453,0.2709262281754235,0.18116804103240594,0.67120268428815577,339.6964696,noise::0513039096
public-004,P2,0,event::03:1:0:3:2,S03_03,S03_05,0.9982872847357902,0.26912512734008948,0.62964721810808932,0.17641389781910802,203.718897559,noise::3651746597
public-002,P4,3,event::01:3:3:1:3,S01_01,S01_03,0.081460757982018878,0.23332017261347071,0.19610166396159812,0.41618827268246988,719.365072429,noise::9709988946
public-012,P2,4,event::11:1:4:0:3,S11_00,S11_01,1.0221599895986455,0.20501716423756153,0.44965355452181371,0.12916071553625169,707.874489708,noise::6021795538
public-001,P2,0,event::00:1:0:1:0,S00_01,S00_03,0.97018115819015582,0.23341546011095687,0.42847494486498772,0.70718345088419421,927.320075815,noise::6663192118
public-009,P4,2,event::08:3:2:1:6,S08_01,S08_03,0.30541674885597075,0.22869129195386984,0.57486875586794572,0.12568604663607386,-745.030201402,noise::4898304925
public-013,P3,5,event::12:2:5:2:8,S12_02,S12_06,0.47370742955245593,0.25696333743867716,0.46503134587348077,0.059301758906562078,592.114828924,noise::0298410883
public-003,P2,2,event::02:1:2:1:5,S02_01,S02_01,0.40540305324274195,0.24995615286699574,0.73625497309970833,0.36343298300359805,-831.958963594,noise::6875818181
public-010,P1,0,event::09:0:0:2:1,S09_02,S09_04,0.62117591353734147,0.25627675523138649,0.32167774579903552,0.59794260135857757,147.643419826,noise::7722575082
public-003,P3,2,event::02:2:2:1:7,S02_01,S02_01,0.72787775878857897,0.23829003278896227,0.81713885526901386,0.36072110484347891,-883.957119552,noise::5986732602
