case_id,candidate_id,candidate_rank,lambda,covariance_ridge,support_z,response_ridge,calibration_z
public-007,C3,3,8,0.008,0.38,0.9,1.1
public-003,C2,2,0.6,0.0025,0.18,0.2,0.8
public-002,C4,4,80,0.02,0.62,4,1.4
public-008,C1,1,0.05,0,0,0.04,0.55
public-004,C2,2,0.6,0.0025,0.18,0.2,0.8
public-010,C4,4,80,0.02,0.62,4,1.4
public-010,C3,3,8,0.008,0.38,0.9,1.1
public-007,C2,2,0.6,0.0025,0.18,0.2,0.8
public-007,C1,1,0.05,0,0,0.04,0.55
public-006,C4,4,80,0.02,0.62,4,1.4
public-008,C2,2,0.6,0.0025,0.18,0.2,0.8
public-002,C2,2,0.6,0.0025,0.18,0.2,0.8
public-005,C4,4,80,0.02,0.62,4,1.4
public-010,C1,1,0.05,0,0,0.04,0.55
public-001,C4,4,80,0.02,0.62,4,1.4
public-007,C4,4,80,0.02,0.62,4,1.4
public-003,C1,1,0.05,0,0,0.04,0.55
public-003,C4,4,80,0.02,0.62,4,1.4
public-010,C2,2,0.6,0.0025,0.18,0.2,0.8
public-001,C1,1,0.05,0,0,0.04,0.55
public-009,C2,2,0.6,0.0025,0.18,0.2,0.8
public-004,C4,4,80,0.02,0.62,4,1.4
public-002,C1,1,0.05,0,0,0.04,0.55
public-005,C2,2,0.6,0.0025,0.18,0.2,0.8
public-005,C1,1,0.05,0,0,0.04,0.55
public-001,C3,3,8,0.008,0.38,0.9,1.1
public-004,C3,3,8,0.008,0.38,0.9,1.1
public-003,C3,3,8,0.008,0.38,0.9,1.1
public-001,C2,2,0.6,0.0025,0.18,0.2,0.8
public-009,C3,3,8,0.008,0.38,0.9,1.1
public-009,C1,1,0.05,0,0,0.04,0.55
public-004,C1,1,0.05,0,0,0.04,0.55
public-006,C2,2,0.6,0.0025,0.18,0.2,0.8
public-008,C4,4,80,0.02,0.62,4,1.4
public-006,C3,3,8,0.008,0.38,0.9,1.1
public-005,C3,3,8,0.008,0.38,0.9,1.1
public-008,C3,3,8,0.008,0.38,0.9,1.1
public-002,C3,3,8,0.008,0.38,0.9,1.1
public-006,C1,1,0.05,0,0,0.04,0.55
public-009,C4,4,80,0.02,0.62,4,1.4
