"row_id","native_english_speaker","course_instructor","course_id","summer_or_regular",class_size
TA00001,1,23,3,1,19
TA00006,2,23,3,1,20
TA00011,2,10,22,2,9
TA00015,2,6,17,2,42
TA00020,2,7,25,2,42
TA00025,2,15,13,2,37
TA00029,2,21,2,2,42
TA00034,1,13,3,1,13
TA00039,2,14,15,2,38
TA00041,2,15,3,1,17
TA00046,2,9,5,2,19
TA00051,2,13,1,2,30
TA00055,2,6,17,2,43
TA00060,2,25,7,2,27
TA00065,2,7,11,2,13
TA00072,2,13,1,2,31
TA00077,2,5,2,2,48
TA00081,2,16,19,2,11
TA00086,2,7,11,1,20
TA00091,1,17,17,2,19
TA00098,1,22,13,2,27
TA00103,1,23,3,1,20
TA00111,2,10,3,2,19
TA00116,2,8,7,2,23
TA00121,2,20,2,2,3
TA00122,2,13,14,2,17
TA00127,1,8,3,2,29
TA00129,2,22,1,2,11
TA00134,2,24,26,2,21
TA00143,2,16,20,2,15
TA00148,2,10,3,2,12
