case_id,state_id
public-002,S01_00
public-004,S03_05
public-003,S02_04
public-001,S00_00
public-010,S09_05
public-007,S06_02
public-008,S07_04
public-001,S00_03
public-010,S09_03
public-009,S08_06
public-004,S03_01
public-009,S08_02
public-001,S00_02
public-009,S08_01
public-004,S03_04
public-006,S05_00
public-004,S03_02
public-009,S08_05
public-005,S04_06
public-006,S05_03
public-007,S06_00
public-006,S05_04
public-005,S04_02
public-002,S01_04
public-001,S00_01
public-008,S07_05
public-003,S02_02
public-008,S07_03
public-003,S02_05
public-007,S06_05
public-009,S08_03
public-002,S01_05
public-005,S04_03
public-007,S06_04
public-001,S00_05
public-004,S03_03
public-002,S01_03
public-005,S04_00
public-003,S02_01
public-006,S05_01
public-007,S06_03
public-004,S03_00
public-008,S07_00
public-005,S04_04
public-006,S05_05
public-006,S05_02
public-010,S09_01
public-003,S02_00
public-001,S00_04
public-008,S07_02
public-005,S04_01
public-009,S08_00
public-007,S06_01
public-010,S09_00
public-010,S09_02
public-002,S01_02
public-009,S08_04
public-010,S09_04
public-003,S02_03
public-001,S00_06
public-008,S07_01
public-005,S04_05
public-002,S01_01
