panel_id,split_role,bath_run,film_microns,bath_solids,bath_temp_c,coat_voltage,dip_seconds,rinse_pressure,substrate_grade,line_side,pretreat_type,cratered
1,fit,late_run,802.533899,759.354209,1911.675410,17649.739216,11500.516975,169.348404,substrate_grade_3,line_side_2,pretreat_type_2,clean
2,fit,salvage_run,1010.339533,737.549624,1175.817401,17626.087061,11475.975241,205.254146,substrate_grade_4,line_side_3,pretreat_type_2,cratered
3,fit,salvage_run,1046.690553,712.599483,1748.309510,17538.425169,9388.584934,178.434318,substrate_grade_2,line_side_2,pretreat_type_1,clean
4,fit,south_bay,602.421989,702.590196,2224.285728,,9573.708219,220.455173,substrate_grade_2,line_side_1,pretreat_type_1,clean
5,validation,middle_run,1118.010619,793.033001,1786.921749,,10095.132098,200.127284,substrate_grade_2,line_side_3,pretreat_type_1,clean
6,test,salvage_run,971.924092,,1688.003192,17150.692426,11300.774140,211.647052,substrate_grade_1,line_side_2,pretreat_type_1,
7,test,north_bay,1058.384257,731.230832,1174.969973,17082.967690,11386.043033,211.297188,substrate_grade_2,line_side_1,pretreat_type_1,
8,fit,middle_run,1010.767145,,1805.007754,18069.253822,10942.310436,182.114041,substrate_grade_3,line_side_1,pretreat_type_2,clean
9,validation,north_bay,873.825081,620.508356,2224.788540,18573.197702,11468.695595,212.214719,substrate_grade_3,line_side_3,pretreat_type_2,cratered
10,fit,early_run,1116.910280,,1814.448100,17947.742335,11327.956754,211.262452,substrate_grade_2,line_side_2,pretreat_type_2,clean
11,test,north_bay,926.413081,724.262220,1912.521628,18353.043269,10254.575634,161.967626,substrate_grade_2,line_side_2,,
12,fit,salvage_run,1234.603108,722.737922,1850.620780,18685.629372,10597.296194,185.192556,substrate_grade_3,line_side_3,pretreat_type_1,cratered
13,fit,early_run,928.107432,734.686708,1377.305483,17258.280814,10427.158093,185.270697,substrate_grade_3,line_side_1,pretreat_type_3,clean
14,fit,early_run,1017.442695,776.795078,1712.081355,18242.136270,10338.213162,217.136431,substrate_grade_3,line_side_1,pretreat_type_2,cratered
15,test,early_run,676.955096,720.203239,2094.787094,18350.369676,11205.857766,210.544754,substrate_grade_3,line_side_3,pretreat_type_2,
16,fit,south_bay,1129.344367,744.422801,1765.684928,17680.941121,10907.276229,166.747285,substrate_grade_3,line_side_2,pretreat_type_2,cratered
17,validation,middle_run,978.833213,780.426217,1367.202058,17967.523846,10344.779387,214.693443,substrate_grade_2,line_side_1,pretreat_type_1,clean
18,fit,early_run,682.012483,664.030117,1789.335489,18288.153345,10918.466029,181.698707,substrate_grade_4,line_side_3,pretreat_type_3,cratered
19,validation,salvage_run,764.879144,701.906247,1754.790923,18578.253922,9937.162738,231.997896,substrate_grade_4,line_side_2,pretreat_type_2,cratered
20,test,late_run,775.022500,,1679.633193,18061.967292,11370.835768,214.118442,substrate_grade_3,line_side_3,pretreat_type_2,
21,fit,early_run,796.465060,762.160764,1785.023008,18255.772614,10641.575306,211.172326,substrate_grade_2,line_side_2,pretreat_type_3,clean
22,fit,north_bay,928.743109,735.390205,1299.622292,18229.606569,11740.924241,189.981854,substrate_grade_3,line_side_2,,clean
23,test,north_bay,917.613672,761.003885,1958.932589,18072.594185,10674.606451,201.293605,substrate_grade_2,line_side_1,pretreat_type_2,
24,fit,early_run,1152.900218,823.352653,1401.610003,17841.882276,11129.192492,199.013050,substrate_grade_1,line_side_1,pretreat_type_1,clean
25,fit,south_bay,1082.104916,774.998229,1361.311996,17141.257638,11215.061948,216.408581,substrate_grade_3,line_side_1,pretreat_type_1,clean
26,fit,south_bay,982.720991,670.922481,1793.515173,17582.271327,12020.792667,176.845482,substrate_grade_2,line_side_2,pretreat_type_3,cratered
