run_uid,release_alias,legacy_alias,parent_uids,stage_kind,release_status,evaluation_cohort,feature_set_hash,auc,model_card
run-01,RB-01,LG-a1,,train,released,cohortA,fs-a,0.800000,cards/run-01.md
run-013,HIST-013,LEG-013,,calibrate,candidate,cohortB,fs-h13,0.531000,cards/run-013.md
run-014,HIST-014,LEG-014,,promote,quarantined,cohortC,fs-h14,0.568000,cards/run-014.md
run-015,HIST-015,LEG-015,,train,released,cohortA,fs-h15,0.605000,cards/run-015.md
run-016,HIST-016,LEG-016,,train,released,cohortB,fs-h16,0.642000,cards/run-016.md
run-017,HIST-017,LEG-017,,calibrate,candidate,cohortC,fs-h17,0.679000,cards/run-017.md
run-018,HIST-018,LEG-018,,promote,quarantined,cohortA,fs-h18,0.716000,cards/run-018.md
run-019,HIST-019,LEG-019,,train,released,cohortB,fs-h19,0.753000,cards/run-019.md
run-02,RB-02,LG-a2,run-01,train,released,cohortA,fs-a,0.805000,cards/run-02.md
run-020,HIST-020,LEG-020,,train,released,cohortC,fs-h20,0.790000,cards/run-020.md
run-021,HIST-021,LEG-021,,calibrate,candidate,cohortA,fs-h21,0.827000,cards/run-021.md
run-022,HIST-022,LEG-022,,promote,quarantined,cohortB,fs-h22,0.864000,cards/run-022.md
run-023,HIST-023,LEG-023,,train,released,cohortC,fs-h0,0.901000,cards/run-023.md
run-024,HIST-024,LEG-024,,train,released,cohortA,fs-h1,0.938000,cards/run-024.md
run-025,HIST-025,LEG-025,,calibrate,candidate,cohortB,fs-h2,0.525000,cards/run-025.md
run-026,HIST-026,LEG-026,,promote,quarantined,cohortC,fs-h3,0.562000,cards/run-026.md
run-027,HIST-027,LEG-027,,train,released,cohortA,fs-h4,0.599000,cards/run-027.md
run-028,HIST-028,LEG-028,,train,released,cohortB,fs-h5,0.636000,cards/run-028.md
run-029,HIST-029,LEG-029,,calibrate,candidate,cohortC,fs-h6,0.673000,cards/run-029.md
run-03,RB-03,LG-a3,run-02,train,candidate,cohortA,fs-b,0.812345,cards/run-03.md
run-030,HIST-030,LEG-030,,promote,quarantined,cohortA,fs-h7,0.710000,cards/run-030.md
run-031,HIST-031,LEG-031,,train,released,cohortB,fs-h8,0.747000,cards/run-031.md
run-032,HIST-032,LEG-032,,train,released,cohortC,fs-h9,0.784000,cards/run-032.md
run-033,HIST-033,LEG-033,,calibrate,candidate,cohortA,fs-h10,0.821000,cards/run-033.md
run-034,HIST-034,LEG-034,,promote,quarantined,cohortB,fs-h11,0.858000,cards/run-034.md
run-035,HIST-035,LEG-035,,train,released,cohortC,fs-h12,0.895000,cards/run-035.md
run-036,HIST-036,LEG-036,,train,released,cohortA,fs-h13,0.932000,cards/run-036.md
run-037,HIST-037,LEG-037,,calibrate,candidate,cohortB,fs-h14,0.519000,cards/run-037.md
run-038,HIST-038,LEG-038,,promote,quarantined,cohortC,fs-h15,0.556000,cards/run-038.md
run-039,HIST-039,LEG-039,,train,released,cohortA,fs-h16,0.593000,cards/run-039.md
run-04,RB-04,LG-a4,run-03,calibrate,released,cohortA,fs-b,0.815000,cards/run-04.md
run-040,HIST-040,LEG-040,,train,released,cohortB,fs-h17,0.630000,cards/run-040.md
run-041,HIST-041,LEG-041,,calibrate,candidate,cohortC,fs-h18,0.667000,cards/run-041.md
run-042,HIST-042,LEG-042,,promote,quarantined,cohortA,fs-h19,0.704000,cards/run-042.md
run-043,HIST-043,LEG-043,,train,released,cohortB,fs-h20,0.741000,cards/run-043.md
run-044,HIST-044,LEG-044,,train,released,cohortC,fs-h21,0.778000,cards/run-044.md
run-045,HIST-045,LEG-045,,calibrate,candidate,cohortA,fs-h22,0.815000,cards/run-045.md
run-046,HIST-046,LEG-046,,promote,quarantined,cohortB,fs-h0,0.852000,cards/run-046.md
run-047,HIST-047,LEG-047,,train,released,cohortC,fs-h1,0.889000,cards/run-047.md
run-048,HIST-048,LEG-048,,train,released,cohortA,fs-h2,0.926000,cards/run-048.md
run-049,HIST-049,LEG-049,,calibrate,candidate,cohortB,fs-h3,0.513000,cards/run-049.md
run-05,RB-05,LG-a5,run-04,promote,released,cohortA,fs-b,0.815000,cards/run-05.md
run-050,HIST-050,LEG-050,,promote,quarantined,cohortC,fs-h4,0.550000,cards/run-050.md
run-051,HIST-051,LEG-051,,train,released,cohortA,fs-h5,0.587000,cards/run-051.md
run-052,HIST-052,LEG-052,,train,released,cohortB,fs-h6,0.624000,cards/run-052.md
run-053,HIST-053,LEG-053,,calibrate,candidate,cohortC,fs-h7,0.661000,cards/run-053.md
run-054,HIST-054,LEG-054,,promote,quarantined,cohortA,fs-h8,0.698000,cards/run-054.md
run-055,HIST-055,LEG-055,,train,released,cohortB,fs-h9,0.735000,cards/run-055.md
run-056,HIST-056,LEG-056,,train,released,cohortC,fs-h10,0.772000,cards/run-056.md
run-057,HIST-057,LEG-057,,calibrate,candidate,cohortA,fs-h11,0.809000,cards/run-057.md
run-058,HIST-058,LEG-058,,promote,quarantined,cohortB,fs-h12,0.846000,cards/run-058.md
run-059,HIST-059,LEG-059,,train,released,cohortC,fs-h13,0.883000,cards/run-059.md
run-06,RB-06,LG-b1,,train,released,cohortB,fs-c,0.700000,cards/run-06.md
run-060,HIST-060,LEG-060,,train,released,cohortA,fs-h14,0.920000,cards/run-060.md
run-061,HIST-061,LEG-061,,calibrate,candidate,cohortB,fs-h15,0.507000,cards/run-061.md
run-062,HIST-062,LEG-062,,promote,quarantined,cohortC,fs-h16,0.544000,cards/run-062.md
run-063,HIST-063,LEG-063,,train,released,cohortA,fs-h17,0.581000,cards/run-063.md
run-064,HIST-064,LEG-064,,train,released,cohortB,fs-h18,0.618000,cards/run-064.md
run-065,HIST-065,LEG-065,,calibrate,candidate,cohortC,fs-h19,0.655000,cards/run-065.md
run-066,HIST-066,LEG-066,,promote,quarantined,cohortA,fs-h20,0.692000,cards/run-066.md
run-067,HIST-067,LEG-067,,train,released,cohortB,fs-h21,0.729000,cards/run-067.md
run-068,HIST-068,LEG-068,,train,released,cohortC,fs-h22,0.766000,cards/run-068.md
run-069,HIST-069,LEG-069,,calibrate,candidate,cohortA,fs-h0,0.803000,cards/run-069.md
run-07,RB-07,LG-b2,run-06,train,candidate,cohortB,fs-d,0.734500,cards/run-07.md
run-070,HIST-070,LEG-070,,promote,quarantined,cohortB,fs-h1,0.840000,cards/run-070.md
run-071,HIST-071,LEG-071,,train,released,cohortC,fs-h2,0.877000,cards/run-071.md
run-072,HIST-072,LEG-072,,train,released,cohortA,fs-h3,0.914000,cards/run-072.md
run-073,HIST-073,LEG-073,,calibrate,candidate,cohortB,fs-h4,0.501000,cards/run-073.md
run-074,HIST-074,LEG-074,,promote,quarantined,cohortC,fs-h5,0.538000,cards/run-074.md
run-075,HIST-075,LEG-075,,train,released,cohortA,fs-h6,0.575000,cards/run-075.md
run-076,HIST-076,LEG-076,,train,released,cohortB,fs-h7,0.612000,cards/run-076.md
run-077,HIST-077,LEG-077,,calibrate,candidate,cohortC,fs-h8,0.649000,cards/run-077.md
run-078,HIST-078,LEG-078,,promote,quarantined,cohortA,fs-h9,0.686000,cards/run-078.md
run-079,HIST-079,LEG-079,,train,released,cohortB,fs-h10,0.723000,cards/run-079.md
run-08,RB-08,LG-b3,run-07,calibrate,released,cohortB,fs-d,0.740000,cards/run-08.md
run-080,HIST-080,LEG-080,,train,released,cohortC,fs-h11,0.760000,cards/run-080.md
run-081,HIST-081,LEG-081,,calibrate,candidate,cohortA,fs-h12,0.797000,cards/run-081.md
run-082,HIST-082,LEG-082,,promote,quarantined,cohortB,fs-h13,0.834000,cards/run-082.md
run-083,HIST-083,LEG-083,,train,released,cohortC,fs-h14,0.871000,cards/run-083.md
run-084,HIST-084,LEG-084,,train,released,cohortA,fs-h15,0.908000,cards/run-084.md
run-085,HIST-085,LEG-085,,calibrate,candidate,cohortB,fs-h16,0.945000,cards/run-085.md
run-086,HIST-086,LEG-086,,promote,quarantined,cohortC,fs-h17,0.532000,cards/run-086.md
run-087,HIST-087,LEG-087,,train,released,cohortA,fs-h18,0.569000,cards/run-087.md
run-088,HIST-088,LEG-088,,train,released,cohortB,fs-h19,0.606000,cards/run-088.md
run-089,HIST-089,LEG-089,,calibrate,candidate,cohortC,fs-h20,0.643000,cards/run-089.md
run-09,RB-09,LG-e1,run-05;run-08,ensemble,released,cohortA,fs-e,0.860000,cards/run-09.md
run-090,HIST-090,LEG-090,,promote,quarantined,cohortA,fs-h21,0.680000,cards/run-090.md
run-091,HIST-091,LEG-091,,train,released,cohortB,fs-h22,0.717000,cards/run-091.md
run-092,HIST-092,LEG-092,,train,released,cohortC,fs-h0,0.754000,cards/run-092.md
run-093,HIST-093,LEG-093,,calibrate,candidate,cohortA,fs-h1,0.791000,cards/run-093.md
run-094,HIST-094,LEG-094,,promote,quarantined,cohortB,fs-h2,0.828000,cards/run-094.md
run-095,HIST-095,LEG-095,,train,released,cohortC,fs-h3,0.865000,cards/run-095.md
run-096,HIST-096,LEG-096,,train,released,cohortA,fs-h4,0.902000,cards/run-096.md
run-097,HIST-097,LEG-097,,calibrate,candidate,cohortB,fs-h5,0.939000,cards/run-097.md
run-098,HIST-098,LEG-098,,promote,quarantined,cohortC,fs-h6,0.526000,cards/run-098.md
run-099,HIST-099,LEG-099,,train,released,cohortA,fs-h7,0.563000,cards/run-099.md
run-10,RB-10,LG-e2,run-09,promote,released,cohortA,fs-e,0.861000,cards/run-10.md
run-100,HIST-100,LEG-100,,train,released,cohortB,fs-h8,0.600000,cards/run-100.md
run-101,HIST-101,LEG-101,,calibrate,candidate,cohortC,fs-h9,0.637000,cards/run-101.md
run-102,HIST-102,LEG-102,,promote,quarantined,cohortA,fs-h10,0.674000,cards/run-102.md
run-103,HIST-103,LEG-103,,train,released,cohortB,fs-h11,0.711000,cards/run-103.md
run-104,HIST-104,LEG-104,,train,released,cohortC,fs-h12,0.748000,cards/run-104.md
run-105,HIST-105,LEG-105,,calibrate,candidate,cohortA,fs-h13,0.785000,cards/run-105.md
run-106,HIST-106,LEG-106,,promote,quarantined,cohortB,fs-h14,0.822000,cards/run-106.md
run-107,HIST-107,LEG-107,,train,released,cohortC,fs-h15,0.859000,cards/run-107.md
run-108,HIST-108,LEG-108,,train,released,cohortA,fs-h16,0.896000,cards/run-108.md
run-109,HIST-109,LEG-109,,calibrate,candidate,cohortB,fs-h17,0.933000,cards/run-109.md
run-11,RB-11,LG-q1,,train,released,cohortA,fs-a,0.802000,cards/run-11.md
run-110,HIST-110,LEG-110,,promote,quarantined,cohortC,fs-h18,0.520000,cards/run-110.md
run-111,HIST-111,LEG-111,,train,released,cohortA,fs-h19,0.557000,cards/run-111.md
run-112,HIST-112,LEG-112,,train,released,cohortB,fs-h20,0.594000,cards/run-112.md
run-113,HIST-113,LEG-113,,calibrate,candidate,cohortC,fs-h21,0.631000,cards/run-113.md
run-114,HIST-114,LEG-114,,promote,quarantined,cohortA,fs-h22,0.668000,cards/run-114.md
run-115,HIST-115,LEG-115,,train,released,cohortB,fs-h0,0.705000,cards/run-115.md
run-116,HIST-116,LEG-116,,train,released,cohortC,fs-h1,0.742000,cards/run-116.md
run-117,HIST-117,LEG-117,,calibrate,candidate,cohortA,fs-h2,0.779000,cards/run-117.md
run-118,HIST-118,LEG-118,,promote,quarantined,cohortB,fs-h3,0.816000,cards/run-118.md
run-119,HIST-119,LEG-119,,train,released,cohortC,fs-h4,0.853000,cards/run-119.md
run-12,RB-12,LG-q2,run-11,train,candidate,cohortA,fs-g,0.640000,cards/run-12.md
run-120,HIST-120,LEG-120,,train,released,cohortA,fs-h5,0.890000,cards/run-120.md
run-121,HIST-121,LEG-121,,calibrate,candidate,cohortB,fs-h6,0.927000,cards/run-121.md
run-122,HIST-122,LEG-122,,promote,quarantined,cohortC,fs-h7,0.514000,cards/run-122.md
run-123,HIST-123,LEG-123,,train,released,cohortA,fs-h8,0.551000,cards/run-123.md
run-124,HIST-124,LEG-124,,train,released,cohortB,fs-h9,0.588000,cards/run-124.md
run-125,HIST-125,LEG-125,,calibrate,candidate,cohortC,fs-h10,0.625000,cards/run-125.md
run-126,HIST-126,LEG-126,,promote,quarantined,cohortA,fs-h11,0.662000,cards/run-126.md
run-127,HIST-127,LEG-127,,train,released,cohortB,fs-h12,0.699000,cards/run-127.md
run-128,HIST-128,LEG-128,,train,released,cohortC,fs-h13,0.736000,cards/run-128.md
run-129,HIST-129,LEG-129,,calibrate,candidate,cohortA,fs-h14,0.773000,cards/run-129.md
run-130,HIST-130,LEG-130,,promote,quarantined,cohortB,fs-h15,0.810000,cards/run-130.md
run-131,HIST-131,LEG-131,,train,released,cohortC,fs-h16,0.847000,cards/run-131.md
run-132,HIST-132,LEG-132,,train,released,cohortA,fs-h17,0.884000,cards/run-132.md
run-133,HIST-133,LEG-133,,calibrate,candidate,cohortB,fs-h18,0.921000,cards/run-133.md
run-134,HIST-134,LEG-134,,promote,quarantined,cohortC,fs-h19,0.508000,cards/run-134.md
run-135,HIST-135,LEG-135,,train,released,cohortA,fs-h20,0.545000,cards/run-135.md
run-136,HIST-136,LEG-136,,train,released,cohortB,fs-h21,0.582000,cards/run-136.md
run-137,HIST-137,LEG-137,,calibrate,candidate,cohortC,fs-h22,0.619000,cards/run-137.md
run-138,HIST-138,LEG-138,,promote,quarantined,cohortA,fs-h0,0.656000,cards/run-138.md
run-139,HIST-139,LEG-139,,train,released,cohortB,fs-h1,0.693000,cards/run-139.md
run-140,HIST-140,LEG-140,,train,released,cohortC,fs-h2,0.730000,cards/run-140.md
run-141,HIST-141,LEG-141,,calibrate,candidate,cohortA,fs-h3,0.767000,cards/run-141.md
run-142,HIST-142,LEG-142,,promote,quarantined,cohortB,fs-h4,0.804000,cards/run-142.md
run-143,HIST-143,LEG-143,,train,released,cohortC,fs-h5,0.841000,cards/run-143.md
run-144,HIST-144,LEG-144,,train,released,cohortA,fs-h6,0.878000,cards/run-144.md
run-145,HIST-145,LEG-145,,calibrate,candidate,cohortB,fs-h7,0.915000,cards/run-145.md
run-146,HIST-146,LEG-146,,promote,quarantined,cohortC,fs-h8,0.502000,cards/run-146.md
run-147,HIST-147,LEG-147,,train,released,cohortA,fs-h9,0.539000,cards/run-147.md
run-148,HIST-148,LEG-148,,train,released,cohortB,fs-h10,0.576000,cards/run-148.md
run-149,HIST-149,LEG-149,,calibrate,candidate,cohortC,fs-h11,0.613000,cards/run-149.md
run-150,HIST-150,LEG-150,,promote,quarantined,cohortA,fs-h12,0.650000,cards/run-150.md
run-151,HIST-151,LEG-151,,train,released,cohortB,fs-h13,0.687000,cards/run-151.md
run-152,HIST-152,LEG-152,,train,released,cohortC,fs-h14,0.724000,cards/run-152.md
run-153,HIST-153,LEG-153,,calibrate,candidate,cohortA,fs-h15,0.761000,cards/run-153.md
run-154,HIST-154,LEG-154,,promote,quarantined,cohortB,fs-h16,0.798000,cards/run-154.md
run-155,HIST-155,LEG-155,,train,released,cohortC,fs-h17,0.835000,cards/run-155.md
run-156,HIST-156,LEG-156,,train,released,cohortA,fs-h18,0.872000,cards/run-156.md
run-157,HIST-157,LEG-157,,calibrate,candidate,cohortB,fs-h19,0.909000,cards/run-157.md
run-158,HIST-158,LEG-158,,promote,quarantined,cohortC,fs-h20,0.946000,cards/run-158.md
run-159,HIST-159,LEG-159,,train,released,cohortA,fs-h21,0.533000,cards/run-159.md
run-160,HIST-160,LEG-160,,train,released,cohortB,fs-h22,0.570000,cards/run-160.md
run-161,HIST-161,LEG-161,,calibrate,candidate,cohortC,fs-h0,0.607000,cards/run-161.md
run-162,HIST-162,LEG-162,,promote,quarantined,cohortA,fs-h1,0.644000,cards/run-162.md
run-163,HIST-163,LEG-163,,train,released,cohortB,fs-h2,0.681000,cards/run-163.md
run-164,HIST-164,LEG-164,,train,released,cohortC,fs-h3,0.718000,cards/run-164.md
run-165,HIST-165,LEG-165,,calibrate,candidate,cohortA,fs-h4,0.755000,cards/run-165.md
run-166,HIST-166,LEG-166,,promote,quarantined,cohortB,fs-h5,0.792000,cards/run-166.md
run-167,HIST-167,LEG-167,,train,released,cohortC,fs-h6,0.829000,cards/run-167.md
run-168,HIST-168,LEG-168,,train,released,cohortA,fs-h7,0.866000,cards/run-168.md
run-169,HIST-169,LEG-169,,calibrate,candidate,cohortB,fs-h8,0.903000,cards/run-169.md
run-170,HIST-170,LEG-170,,promote,quarantined,cohortC,fs-h9,0.940000,cards/run-170.md
run-171,HIST-171,LEG-171,,train,released,cohortA,fs-h10,0.527000,cards/run-171.md
run-172,HIST-172,LEG-172,,train,released,cohortB,fs-h11,0.564000,cards/run-172.md
run-173,HIST-173,LEG-173,,calibrate,candidate,cohortC,fs-h12,0.601000,cards/run-173.md
run-174,HIST-174,LEG-174,,promote,quarantined,cohortA,fs-h13,0.638000,cards/run-174.md
run-175,HIST-175,LEG-175,,train,released,cohortB,fs-h14,0.675000,cards/run-175.md
run-176,HIST-176,LEG-176,,train,released,cohortC,fs-h15,0.712000,cards/run-176.md
run-177,HIST-177,LEG-177,,calibrate,candidate,cohortA,fs-h16,0.749000,cards/run-177.md
run-178,HIST-178,LEG-178,,promote,quarantined,cohortB,fs-h17,0.786000,cards/run-178.md
run-179,HIST-179,LEG-179,,train,released,cohortC,fs-h18,0.823000,cards/run-179.md
run-180,HIST-180,LEG-180,,train,released,cohortA,fs-h19,0.860000,cards/run-180.md
run-181,HIST-181,LEG-181,,calibrate,candidate,cohortB,fs-h20,0.897000,cards/run-181.md
run-182,HIST-182,LEG-182,,promote,quarantined,cohortC,fs-h21,0.934000,cards/run-182.md
run-183,HIST-183,LEG-183,,train,released,cohortA,fs-h22,0.521000,cards/run-183.md
run-184,HIST-184,LEG-184,,train,released,cohortB,fs-h0,0.558000,cards/run-184.md
run-185,HIST-185,LEG-185,,calibrate,candidate,cohortC,fs-h1,0.595000,cards/run-185.md
run-186,HIST-186,LEG-186,,promote,quarantined,cohortA,fs-h2,0.632000,cards/run-186.md
run-187,HIST-187,LEG-187,,train,released,cohortB,fs-h3,0.669000,cards/run-187.md
run-188,HIST-188,LEG-188,,train,released,cohortC,fs-h4,0.706000,cards/run-188.md
run-189,HIST-189,LEG-189,,calibrate,candidate,cohortA,fs-h5,0.743000,cards/run-189.md
run-190,HIST-190,LEG-190,,promote,quarantined,cohortB,fs-h6,0.780000,cards/run-190.md
