event_id,timestamp_utc,calendar_day,hour_utc,campaign,logger,position,user_feature_0,user_feature_1,user_feature_2,user_feature_3,clicked_item,behavior_propensity
tr0001,2019-11-24T01:31:03.601617+00:00,24,1,women,bts,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,f97571b9c14a786aab269f0b427d2a85,13,0.214059211813
tr0002,2019-11-24T02:33:40.638561+00:00,24,2,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,f97571b9c14a786aab269f0b427d2a85,25,0.0162560261555
tr0003,2019-11-24T02:39:34.378793+00:00,24,2,women,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53,13,0.214059211813
tr0004,2019-11-24T02:43:17.773185+00:00,24,2,women,bts,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,c39b0c7dd5d4eb9a18e7db6ba2f258f8,13,0.207074157333
tr0005,2019-11-24T03:10:07.359599+00:00,24,3,women,random,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,f97571b9c14a786aab269f0b427d2a85,14,0.1
tr0006,2019-11-24T03:39:13.332482+00:00,24,3,men,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,2d03db5543b14483e52d761760686b64,9b2d331c329ceb74d3dcfb48d8798c78,9bde591ffaab8d54c457448e4dca6f53,3,0.200431297958
tr0007,2019-11-24T04:14:28.072340+00:00,24,4,men,bts,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,9bde591ffaab8d54c457448e4dca6f53,3,0.200431297958
tr0008,2019-11-24T04:17:55.544638+00:00,24,4,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,9bde591ffaab8d54c457448e4dca6f53,21,0.211238710398
tr0009,2019-11-24T04:52:47.545888+00:00,24,4,all,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,9bde591ffaab8d54c457448e4dca6f53,6,0.0175211734465
tr0010,2019-11-24T05:07:01.066841+00:00,24,5,men,bts,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,f97571b9c14a786aab269f0b427d2a85,18,0.0332646073734
tr0011,2019-11-24T05:43:06.735866+00:00,24,5,women,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,c39b0c7dd5d4eb9a18e7db6ba2f258f8,13,0.214059211813
tr0012,2019-11-24T05:52:05.003613+00:00,24,5,women,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,c39b0c7dd5d4eb9a18e7db6ba2f258f8,13,0.214059211813
tr0013,2019-11-24T06:22:48.087590+00:00,24,6,men,random,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,05b76f5e97e51128862059ac7df9e42a,10,0.1
tr0014,2019-11-24T06:33:13.284627+00:00,24,6,men,bts,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,06128286bcc64b6a4b0fb7bc0328fe17,13,0.251593380988
tr0015,2019-11-24T07:20:36.707083+00:00,24,7,men,random,2,cef3390ed299c09874189c387777674a,2d03db5543b14483e52d761760686b64,719dab53a7560218a9d1f96b25d6fa32,f97571b9c14a786aab269f0b427d2a85,3,0.1
tr0016,2019-11-24T07:22:30.694018+00:00,24,7,all,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53,1,0.278281141356
tr0017,2019-11-24T07:58:00.770950+00:00,24,7,all,bts,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,9bde591ffaab8d54c457448e4dca6f53,18,0.00527791334837
tr0018,2019-11-24T08:33:38.667529+00:00,24,8,all,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,9bde591ffaab8d54c457448e4dca6f53,38,0.1
tr0019,2019-11-24T08:49:17.627354+00:00,24,8,women,random,1,81ce123cbb5bd8ce818f60fb3586bba5,2d03db5543b14483e52d761760686b64,719dab53a7560218a9d1f96b25d6fa32,05b76f5e97e51128862059ac7df9e42a,14,0.1
tr0020,2019-11-24T09:37:33.843552+00:00,24,9,men,bts,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,c39b0c7dd5d4eb9a18e7db6ba2f258f8,9,0.329571792135
tr0021,2019-11-24T10:49:30.331393+00:00,24,10,women,bts,2,81ce123cbb5bd8ce818f60fb3586bba5,2d03db5543b14483e52d761760686b64,2723d2eb8bba04e0362098011fa3997b,c39b0c7dd5d4eb9a18e7db6ba2f258f8,13,0.20503270988
tr0022,2019-11-24T11:03:08.955173+00:00,24,11,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53,9,0.409918105722
tr0023,2019-11-24T11:46:46.513423+00:00,24,11,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,c39b0c7dd5d4eb9a18e7db6ba2f258f8,3,0.200431297958
tr0024,2019-11-24T11:50:47.844097+00:00,24,11,men,random,1,cef3390ed299c09874189c387777674a,2d03db5543b14483e52d761760686b64,9b2d331c329ceb74d3dcfb48d8798c78,05b76f5e97e51128862059ac7df9e42a,23,0.1
tr0025,2019-11-24T12:01:00.812141+00:00,24,12,men,random,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,f97571b9c14a786aab269f0b427d2a85,12,0.1
tr0026,2019-11-24T12:02:28.476719+00:00,24,12,men,random,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,c39b0c7dd5d4eb9a18e7db6ba2f258f8,27,0.1
tr0027,2019-11-24T12:20:44.586919+00:00,24,12,men,bts,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,9f4e8271d3d3014af5f35124c2de5082,9bde591ffaab8d54c457448e4dca6f53,18,0.0425076163222
tr0028,2019-11-24T12:31:28.822477+00:00,24,12,men,random,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,c39b0c7dd5d4eb9a18e7db6ba2f258f8,27,0.1
tr0029,2019-11-24T12:41:16.071492+00:00,24,12,all,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,c39b0c7dd5d4eb9a18e7db6ba2f258f8,57,0.00337430744405
tr0030,2019-11-24T12:51:48.131550+00:00,24,12,all,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,f97571b9c14a786aab269f0b427d2a85,45,0.1
tr0031,2019-11-24T12:55:53.390920+00:00,24,12,all,bts,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53,25,0.2173820621
tr0032,2019-11-24T13:25:23.958050+00:00,24,13,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,9bde591ffaab8d54c457448e4dca6f53,3,0.200431297958
tr0033,2019-11-24T13:28:30.438006+00:00,24,13,all,random,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,c39b0c7dd5d4eb9a18e7db6ba2f258f8,45,0.1
tr0034,2019-11-24T13:28:47.305694+00:00,24,13,men,random,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,270b3e1c052b4f2e9c90bf0ebeb84f34,22,0.1
tr0035,2019-11-24T13:30:01.662966+00:00,24,13,women,random,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,302deff13f835d731df1c842eed95971,c39b0c7dd5d4eb9a18e7db6ba2f258f8,14,0.1
tr0036,2019-11-24T13:39:23.643374+00:00,24,13,women,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,9bde591ffaab8d54c457448e4dca6f53,16,0.1
tr0037,2019-11-24T13:47:42.527294+00:00,24,13,men,bts,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53,17,0.0436387522383
tr0038,2019-11-24T14:25:49.270885+00:00,24,14,all,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,c39b0c7dd5d4eb9a18e7db6ba2f258f8,39,0.1
tr0039,2019-11-24T14:36:40.945768+00:00,24,14,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,f97571b9c14a786aab269f0b427d2a85,3,0.200431297958
tr0040,2019-11-24T14:50:47.680115+00:00,24,14,men,random,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,f97571b9c14a786aab269f0b427d2a85,27,0.1
tr0041,2019-11-24T15:01:10.194406+00:00,24,15,men,bts,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,c39b0c7dd5d4eb9a18e7db6ba2f258f8,9,0.546696875125
tr0042,2019-11-24T15:02:11.335096+00:00,24,15,men,random,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,05b76f5e97e51128862059ac7df9e42a,17,0.1
tr0043,2019-11-24T15:24:05.038065+00:00,24,15,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,c39b0c7dd5d4eb9a18e7db6ba2f258f8,3,0.200431297958
tr0044,2019-11-24T16:11:23.713862+00:00,24,16,all,bts,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,9f4e8271d3d3014af5f35124c2de5082,c39b0c7dd5d4eb9a18e7db6ba2f258f8,6,0.0120245517363
tr0045,2019-11-24T22:25:25.301309+00:00,24,22,women,random,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,f97571b9c14a786aab269f0b427d2a85,36,0.1
tr0046,2019-11-24T22:33:07.625948+00:00,24,22,men,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,06128286bcc64b6a4b0fb7bc0328fe17,27,0.1
tr0047,2019-11-24T22:35:13.410544+00:00,24,22,all,bts,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,9bde591ffaab8d54c457448e4dca6f53,6,0.0172004472669
tr0048,2019-11-25T00:11:03.672939+00:00,25,0,women,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53,13,0.211234451544
tr0049,2019-11-25T01:29:54.949150+00:00,25,1,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53,3,0.256123771939
tr0050,2019-11-25T01:50:35.842608+00:00,25,1,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,c39b0c7dd5d4eb9a18e7db6ba2f258f8,28,0.0212639570053
tr0051,2019-11-25T03:14:07.506348+00:00,25,3,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,f97571b9c14a786aab269f0b427d2a85,18,0.0425076163222
tr0052,2019-11-25T03:29:54.581244+00:00,25,3,all,bts,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,f97571b9c14a786aab269f0b427d2a85,18,0.0052211185222
tr0053,2019-11-25T05:33:48.070615+00:00,25,5,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53,9,0.546696875125
tr0054,2019-11-25T06:04:10.565721+00:00,25,6,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,9bde591ffaab8d54c457448e4dca6f53,3,0.256123771939
