record_id,source_split,capture_action,behavior_propensity,target_probability,policy_weight,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,digit_label
train_00001,training_writers,long_sweep,0.35699517,0.47000000,1.31654441,47,100,27,81,57,37,26,0,0,23,56,53,100,90,40,98,8
train_00002,training_writers,compact_trace,0.50477452,0.32000000,0.63394642,0,89,27,100,42,75,29,45,15,15,37,0,69,2,100,6,2
train_00003,training_writers,compact_trace,0.52059047,0.32000000,0.61468663,0,57,31,68,72,90,100,100,76,75,50,51,28,25,16,0,1
train_00004,training_writers,compact_trace,0.50005250,0.32000000,0.63993281,0,100,7,92,5,68,19,45,86,34,100,45,74,23,67,0,4
train_00005,training_writers,compact_trace,0.51746833,0.32000000,0.61839533,0,67,49,83,100,100,81,80,60,60,40,40,33,20,47,0,1
train_00006,training_writers,compact_trace,0.53662287,0.32000000,0.59632196,100,100,88,99,49,74,17,47,0,16,37,0,73,16,20,20,6
train_00007,training_writers,long_sweep,0.34425248,0.47000000,1.36527704,0,100,3,72,26,35,85,35,100,71,73,97,65,49,66,0,4
train_00008,training_writers,long_sweep,0.35924675,0.47000000,1.30829297,0,39,2,62,11,5,63,0,100,43,89,99,36,100,0,57,0
train_00009,training_writers,long_sweep,0.35897616,0.47000000,1.30927915,13,89,12,50,72,38,56,0,4,17,0,61,32,94,100,100,5
train_00010,training_writers,long_sweep,0.35023745,0.47000000,1.34194672,57,100,22,72,0,31,25,0,75,13,100,50,75,87,26,85,0
train_00011,training_writers,long_sweep,0.35570978,0.47000000,1.32130189,74,87,31,100,0,69,62,64,100,79,100,38,84,0,18,1,9
train_00012,training_writers,long_sweep,0.36460065,0.47000000,1.28908161,48,96,62,65,88,27,21,0,21,33,79,67,100,100,0,85,8
train_00013,training_writers,compact_trace,0.52145561,0.32000000,0.61366680,100,100,72,99,36,78,34,54,79,47,64,13,19,0,0,2,5
train_00014,training_writers,long_sweep,0.35248747,0.47000000,1.33338073,91,74,54,100,0,87,23,59,81,67,100,39,79,4,21,0,9
train_00015,training_writers,compact_trace,0.53202959,0.32000000,0.60147030,0,85,38,100,81,88,87,50,84,12,58,0,53,22,100,24,7
train_00016,training_writers,compact_trace,0.53438641,0.32000000,0.59881763,35,76,57,100,100,92,68,66,81,38,82,9,32,0,0,17,3
train_00017,training_writers,compact_trace,0.53261333,0.32000000,0.60081110,50,84,66,100,75,75,51,51,100,42,97,13,49,0,0,7,3
train_00018,training_writers,long_sweep,0.34500279,0.47000000,1.36230782,99,80,63,100,25,76,79,68,100,62,97,23,54,0,0,16,9
train_00019,training_writers,compact_trace,0.53736872,0.32000000,0.59549428,24,66,43,100,59,65,34,28,0,1,16,11,58,0,100,1,2
train_00020,training_writers,long_sweep,0.34088199,0.47000000,1.37877627,0,73,19,99,72,100,70,73,32,48,5,18,46,0,100,0,2
train_00021,training_writers,long_sweep,0.35686377,0.47000000,1.31702918,12,77,20,62,78,40,50,0,1,17,0,64,23,98,100,100,5
train_00022,training_writers,compact_trace,0.50974190,0.32000000,0.62776868,0,46,49,64,78,87,100,100,91,75,85,49,75,24,89,0,1
train_00023,training_writers,long_sweep,0.34912457,0.47000000,1.34622434,10,86,34,66,68,34,34,0,4,26,0,69,34,95,100,100,5
train_00024,training_writers,long_sweep,0.36738135,0.50000000,1.36098362,73,62,53,100,0,72,82,39,100,0,15,14,52,57,90,94,8
train_00025,training_writers,long_sweep,0.34391848,0.47000000,1.36660293,54,100,34,75,6,43,0,11,70,0,100,28,44,46,36,21,6
train_00026,training_writers,compact_trace,0.52646121,0.32000000,0.60783206,11,100,0,69,15,43,87,47,100,65,74,67,71,33,66,0,4
train_00027,training_writers,long_sweep,0.34801323,0.47000000,1.35052338,36,92,7,83,0,37,26,0,77,6,100,46,84,89,36,100,0
