post_id,published_year,published_month,published_weekday,published_hour,logged_content_route,behavior_propensity,target_policy_weight,priority_stratum,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,response_route
FB00001,2018,4,6,6,live_video,0.330926,1.269166,policy_shift,529,512,262,432,92,3,1,1,0,share_amplify
FB00002,2018,4,5,22,product_photo,0.607618,0.550000,regular,150,0,0,150,0,0,0,0,0,share_amplify
FB00003,2018,4,5,6,live_video,0.330926,1.269166,policy_shift,227,236,57,204,21,1,1,0,0,share_amplify
FB00004,2018,4,5,2,product_photo,0.607618,0.550000,regular,111,0,0,111,0,0,0,0,0,share_amplify
FB00005,2018,4,2,3,product_photo,0.607618,0.550000,regular,213,0,0,204,9,0,0,0,0,emotion_nurture
FB00006,2018,4,2,2,product_photo,0.607618,0.550000,regular,217,6,0,211,5,1,0,0,0,emotion_nurture
FB00007,2018,4,2,0,live_video,0.330926,1.269166,policy_shift,503,614,72,418,70,10,2,0,3,emotion_nurture
FB00008,2018,4,1,7,live_video,0.330926,1.269166,policy_shift,295,453,53,260,32,1,1,0,1,conversation_service
FB00009,2018,4,1,3,product_photo,0.607618,0.550000,regular,203,1,0,198,5,0,0,0,0,emotion_nurture
FB00010,2018,4,2,4,product_photo,0.607618,0.550000,regular,170,9,1,167,3,0,0,0,0,emotion_nurture
FB00012,2018,4,0,2,product_photo,0.607618,0.550000,regular,222,4,0,213,5,4,0,0,0,emotion_nurture
FB00014,2018,4,6,2,product_photo,0.607618,0.550000,regular,209,4,0,200,8,1,0,0,0,emotion_nurture
FB00015,2018,4,3,9,product_photo,0.607618,0.550000,regular,346,11,0,335,10,1,0,0,0,emotion_nurture
FB00019,2018,3,4,7,live_video,0.330926,1.269166,policy_shift,221,166,36,192,28,0,1,0,0,emotion_nurture
FB00020,2018,3,3,1,product_photo,0.607618,0.550000,regular,152,2,0,149,3,0,0,0,0,emotion_nurture
FB00021,2018,3,2,8,product_photo,0.607618,0.550000,regular,234,15,1,221,12,1,0,0,0,emotion_nurture
FB00025,2018,3,1,0,product_photo,0.607618,0.550000,regular,102,0,0,100,0,2,0,0,0,emotion_nurture
FB00026,2018,3,0,22,live_video,0.330926,1.269166,policy_shift,37,0,1,37,0,0,0,0,0,share_amplify
FB00027,2018,3,5,8,live_video,0.330926,1.269166,policy_shift,75,36,14,70,5,0,0,0,0,share_amplify
FB00030,2018,3,4,7,live_video,0.330926,1.269166,policy_shift,253,300,31,229,22,1,1,0,0,conversation_service
FB00032,2018,3,2,13,live_video,0.330926,1.269166,policy_shift,45,14,0,40,5,0,0,0,0,emotion_nurture
FB00034,2018,3,2,4,product_photo,0.607618,0.550000,regular,125,1,0,116,8,1,0,0,0,emotion_nurture
FB00035,2018,3,0,8,product_photo,0.607618,0.550000,regular,119,4,0,116,3,0,0,0,0,emotion_nurture
FB00037,2018,3,4,9,live_video,0.330926,1.269166,policy_shift,128,137,26,110,16,2,0,0,0,emotion_nurture
FB00039,2018,2,2,1,product_photo,0.607618,0.550000,regular,66,11,6,61,4,1,0,0,0,emotion_nurture
FB00041,2018,2,6,10,live_video,0.330926,1.269166,policy_shift,90,72,23,79,10,1,0,0,0,share_amplify
FB00042,2018,2,2,0,live_video,0.330926,1.269166,policy_shift,139,39,9,121,16,1,1,0,0,emotion_nurture
FB00044,2018,2,6,7,live_video,0.330926,1.269166,policy_shift,225,210,34,193,30,0,2,0,0,emotion_nurture
FB00048,2018,2,2,8,live_video,0.330926,1.269166,policy_shift,128,60,11,114,13,0,0,0,1,emotion_nurture
FB00055,2018,2,2,8,live_video,0.330926,1.269166,policy_shift,164,136,48,146,15,2,0,1,0,share_amplify
FB00057,2018,2,0,9,live_video,0.330926,1.269166,policy_shift,211,284,46,186,25,0,0,0,0,conversation_service
FB00060,2018,2,4,9,live_video,0.330926,1.269166,policy_shift,279,292,34,254,20,3,1,1,0,conversation_service
FB00061,2018,2,4,7,product_photo,0.607618,0.550000,regular,263,8,0,245,14,4,0,0,0,emotion_nurture
FB00062,2018,2,4,6,live_video,0.330926,1.269166,policy_shift,177,193,34,151,25,1,0,0,0,emotion_nurture
FB00063,2018,1,6,7,product_photo,0.607618,0.550000,regular,517,32,1,484,26,7,0,0,0,emotion_nurture
FB00064,2018,1,6,5,live_video,0.330926,1.269166,policy_shift,289,258,33,256,33,0,0,0,0,emotion_nurture
FB00068,2018,1,3,8,live_video,0.330926,1.269166,policy_shift,362,468,86,305,56,0,0,1,0,emotion_nurture
FB00071,2018,1,0,9,live_video,0.330926,1.269166,policy_shift,57,0,0,56,1,0,0,0,0,emotion_nurture
FB00072,2018,1,6,9,live_video,0.330926,1.269166,policy_shift,272,258,43,226,44,1,1,0,0,emotion_nurture
FB00074,2018,1,5,9,live_video,0.330926,1.269166,policy_shift,132,89,40,110,20,1,0,0,1,share_amplify
FB00076,2018,1,4,9,live_video,0.330926,1.269166,policy_shift,35,1,0,35,0,0,0,0,0,share_amplify
FB00079,2018,1,2,9,live_video,0.330926,1.269166,policy_shift,259,368,50,234,25,0,0,0,0,conversation_service
FB00082,2018,1,1,0,live_video,0.330926,1.269166,policy_shift,149,63,15,134,15,0,0,0,0,emotion_nurture
FB00083,2018,1,5,9,live_video,0.330926,1.269166,policy_shift,134,171,41,116,18,0,0,0,0,share_amplify
FB00085,2018,1,2,8,live_video,0.330926,1.269166,policy_shift,310,540,41,284,26,0,0,0,0,conversation_service
FB00087,2017,12,1,6,product_photo,0.607618,0.550000,regular,293,6,1,275,15,3,0,0,0,emotion_nurture
FB00089,2017,12,3,8,product_photo,0.607618,0.550000,regular,312,10,0,291,18,3,0,0,0,emotion_nurture
FB00090,2017,12,6,23,product_photo,0.607618,0.550000,regular,24,12,0,24,0,0,0,0,0,conversation_service
FB00094,2017,12,0,8,product_photo,0.607618,0.550000,regular,737,18,0,697,31,9,0,0,0,emotion_nurture
