observation_id,run_id,field_t,observed_longitudinal_uohm_m,observed_hall_uohm_m,sigma_longitudinal_uohm_m,sigma_hall_uohm_m,use_flag
1,R1,-3.000000,1168.746923,-95.101575,2.118033,1.195142,1
2,R1,-2.100000,1133.516024,-66.983794,2.093395,1.166940,1
3,R1,-1.350000,1113.387769,-42.458372,2.079411,1.142379,1
4,R1,-0.700000,1102.981669,-20.609832,2.072181,1.120577,1
5,R1,0.000000,1099.267581,3.215860,2.069518,1.103170,1
6,R1,0.700000,1103.218003,26.994892,2.072181,1.126917,1
7,R1,1.350000,1113.564053,48.747001,2.079411,1.148718,1
8,R1,2.100000,1133.409188,82.612505,2.093395,1.173280,0
9,R1,3.000000,1168.487016,101.399185,2.118033,1.201482,1
10,R2,-3.000000,1180.211864,-85.964677,2.126208,1.185940,1
11,R2,-2.100000,1152.995511,-60.308812,2.107049,1.160366,1
12,R2,-1.350000,1137.543362,-38.173431,2.096186,1.138250,1
13,R2,-0.700000,1129.423295,-18.677834,2.090574,1.118695,1
14,R2,0.000000,1126.328089,2.506975,2.088507,1.102565,1
15,R2,0.700000,1129.276951,23.750544,2.090574,1.123825,1
16,R2,1.350000,1137.434289,43.366675,2.096186,1.143379,1
17,R2,2.100000,1153.061513,65.559271,2.107049,1.165495,1
18,R2,3.000000,1180.372005,91.146130,2.126208,1.191070,1
19,R3,-3.000000,1204.733589,-81.022060,2.143370,1.181030,1
20,R3,-2.100000,1182.388006,-57.249731,2.127766,1.157182,1
21,R3,-1.350000,1169.874434,-36.750631,2.118926,1.136680,1
22,R3,-0.700000,1163.492094,-18.609969,2.114361,1.118608,1
23,R3,0.000000,1161.080016,1.077177,2.112680,1.101010,1
24,R3,0.700000,1148.533813,20.696037,2.114361,1.120629,1
25,R3,1.350000,1169.756920,38.697109,2.118926,1.138701,1
26,R3,2.100000,1182.459044,59.130361,2.127766,1.159203,1
27,R3,3.000000,1204.905651,82.982710,2.143370,1.183050,1
28,R4,-3.000000,1235.097769,-78.343452,2.164475,1.178353,1
29,R4,-2.100000,1216.183614,-55.635833,2.151324,1.155711,1
30,R4,-1.350000,1205.414072,-36.271634,2.143879,1.136333,1
31,R4,-0.700000,1199.950022,-19.309632,2.140035,1.119295,1
32,R4,0.000000,1203.470594,-0.893927,2.138621,1.100821,1
33,R4,0.700000,1200.189789,17.596798,2.140035,1.117654,1
34,R4,1.350000,1205.592615,34.711618,2.143879,1.134692,1
35,R4,2.100000,1216.075759,54.147631,2.151324,1.154069,1
36,R4,3.000000,1234.836849,76.767604,2.164475,1.176711,1
37,R5,-3.000000,1269.756817,-76.255128,2.188825,1.176229,1
38,R5,-2.100000,1253.750345,-54.587562,2.177532,1.154508,1
39,R5,-1.350000,1244.580650,-36.039341,2.171142,1.135989,1
40,R5,-0.700000,1239.713268,-19.710020,2.167844,1.119740,1
41,R5,0.000000,1237.903870,-2.060409,2.166631,1.102137,1
42,R5,0.700000,1239.738167,15.510494,2.167844,1.115466,1
43,R5,1.350000,1244.599186,31.680151,2.171142,1.131715,1
44,R5,2.100000,1253.739153,50.153478,2.177532,1.150234,1
45,R5,3.000000,1269.729767,71.912567,2.188825,1.171955,1
46,R6,-3.000000,1311.535566,-73.596015,2.218173,1.173637,1
47,R6,-2.100000,1297.630549,-52.593257,2.208400,1.152674,1
48,R6,-1.350000,1289.895420,-34.823834,2.202873,1.134860,1
49,R6,-0.700000,1285.885126,-19.301197,2.200021,1.119257,1
50,R6,0.000000,1284.272653,-2.446354,2.198972,1.102370,1
51,R6,0.700000,1285.624401,14.487377,2.200021,1.114518,1
52,R6,1.350000,1289.701367,30.169849,2.202873,1.130121,1
53,R6,2.100000,1297.747661,48.014190,2.208400,1.147935,1
54,R6,3.000000,1311.818404,68.925417,2.218173,1.168898,1
55,R7,-3.000000,1362.410827,-70.400801,2.253636,1.170346,1
56,R7,-2.100000,1350.091522,-50.090245,2.245127,1.150012,1
57,R7,-1.350000,1343.170536,-32.803491,2.240317,1.132782,1
58,R7,-0.700000,1339.752430,-17.658294,2.237836,1.117714,1
59,R7,0.000000,1338.591319,-1.343869,2.236923,1.101418,1
60,R7,0.700000,1339.876148,14.894936,2.237836,1.114879,1
61,R7,1.350000,1343.262601,29.886807,2.240317,1.129947,1
62,R7,2.100000,1350.035981,47.101758,2.245127,1.147177,1
63,R7,3.000000,1362.276774,67.500064,2.253636,1.167511,1
